sub	condition	order	sup/nosup	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16
38	FillA	2	ns	0.25	0.75	0.75	0.5	0.75	0.625	0.625	0.75	0.5	0.625	0.625	0.625	0.625	0.5	0.5	0.5
39	FillA	1	ns	1	0.875	1	1	0.625	0.625	0.5	1	1	0.625	0.375	1	0.875	0.625	0.75	1
40	FillA	2	ns	0	0.125	0.75	0.75	0.625	0.75	0.375	0.625	0.625	0.375	1	0.75	0.75	0.75	0.625	0.375
41	FillA	1	ns	0.375	0.625	0	1	0.625	0.75	0.75	0.5	0.5	0.5	0.5	0.25	0.875	0.25	0.75	0.375
42	FillA	2	ns	0.125	0.5	0.625	0.375	0.25	0.125	0.5	0.125	0.125	0.25	0.25	0	0.125	0.75	0	0.5
43	FillA	1	ns	0.625	0.5	0.5	0.375	0.875	0.75	1	0.75	1	0.75	0.75	0.5	0.875	0.5	0.625	0.5
44	FillA	2	ns	0.375	0.625	0.75	0.25	0.5	0.375	0.375	0.25	0.75	0.125	0.75	0.5	0.125	0.5	0.625	1
45	FillA	1	ns	0.75	0.5	0.5	0.125	0.625	1	0.5	0.375	0.75	0.75	1	1	1	0.625	0.75	0.75
46	FillA	2	ns	0.25	0.5	0.5	0.375	0	0.375	0.75	0	0.25	0.25	0.375	0.375	0.5	0.375	0.5	0.5
47	FillA	1	ns	1	0.5	0.375	0.375	0.25	0.5	0.125	0.5	0.875	0.625	0.25	0.75	1	0.625	0.75	0.625
48	FillA	2	ns	0.5	0.5	0.625	0	0.5	0.25	0.375	0.125	0.25	0.625	0.5	0.5	0.5	0.75	0.75	0.75
49	FillA	1	ns	0.125	0.625	0.625	0.625	0.625	0.125	0.375	0.75	0.75	0.875	0.75	0.875	0.375	0.75	1	1
50	FillA	2	ns	1	1	0.625	0.75	1	0.75	0.25	0.625	0.625	0.375	1	0.375	0.125	1	1	0.5
51	FillA	1	ns	0	0.75	0.25	0	0.375	0.125	0	0.125	0.25	0.5	0.625	0	0.75	0.125	0.375	0.5
52	FillA	2	ns	0.625	1	0.75	0.5	0.75	0.75	0.75	0.75	0.375	1	0.5	0.75	0.5	0.5	0.75	0.5
53	FillA	1	ns	0.375	0.5	0.25	0.5	0.75	0.625	0.5	0	0.125	1	1	0.5	0.375	0.625	0.125	0.125
54	FillA	2	ns	0.5	0.375	0.5	0.5	1	0.5	1	1	0.5	0.5	1	0.25	0.5	0.25	0.75	0.75
55	FillA	1	ns	0	0.625	0.5	0.5	0.625	0.5	0.375	0.25	0.375	0.625	0.5	0.625	1	0.25	0.375	0.25
56	FillA	2	ns	0.5	0.75	0.5	0.625	0.625	0.75	0.625	0.625	0.75	0.25	0.5	0.75	0.75	0.75	0.5	0.625
57	FillA	1	ns	0.625	1	1	0.5	1	1	0.75	0.375	0.625	0.875	0.5	1	1	0.25	0.5	0.75
58	FillA	2	ns	0.375	0.125	0.125	0.125	0.125	0.375	0.625	0.25	0.625	0.125	0.25	0.375	0.375	0.5	0.5	0.375
59	FillA	1	ns	0	0.25	0.625	0.375	0	1	0.25	0.375	1	0.875	0.75	0.875	0.75	0.75	0.125	0.875
60	FillA	2	ns	0.375	0.375	0	0.125	0.125	0.25	0.25	0.625	0	0.125	0.125	0.25	0.125	0.375	0.25	0.125
61	FillA	1	ns	0.75	0.625	0.375	0.375	0.75	0.625	0.75	0.375	1	0.75	1	0.625	0.75	0.375	0.625	0.5
62	FillA	2	ns	0.125	1	0.125	0.5	0.375	0.625	0.75	0.5	0.75	0.375	0.5	1	0.25	0.625	0.75	0.375
63	FillA	1	ns	0.25	0.25	0.5	0	0.375	0.25	0.25	0.5	0.625	0.25	0.5	0.75	0.25	0.5	0.5	0.375
64	FillA	2	ns	0.375	0.125	0	0.625	0.125	0.625	0.125	0.375	0.25	0.125	0.375	0.375	0.5	0.625	0.375	0.25
65	FillA	1	ns	0.75	0.75	0.5	0.125	0.75	0.375	0.375	0.25	1	0.25	0.125	0.25	0.375	0.5	0.625	0.375
66	FillA	2	ns	0.5	0.75	0.625	0.25	0.25	0.25	0.5	0.5	0.75	0.625	0.5	0.625	0.75	0.25	0.5	0.375
67	FillA	1	ns	0.25	0.25	0.375	0.625	0.25	0.75	0.375	0.5	0.5	1	0.5	0.75	0.625	0.75	0.375	0.5
68	FillA	2	ns	0.375	0.125	0.5	0.625	0.375	0.625	0.25	0.125	0.5	0.625	0.25	1	1	0.75	0.125	0
69	FillA	1	ns	0.75	0.125	0.375	0.625	0.75	0.625	0.5	1	0.75	0.25	0.75	0.625	0.375	0.75	0.5	0
70	FillA	2	ns	0.375	0.5	0.625	0.125	0.125	0.875	0.125	0.125	0.5	0.125	0.25	0.25	0.375	0.5	0.375	0.25
71	FillA	1	ns	0.125	0.125	0.25	0.25	0.125	0.375	0.75	0.125	0.75	0.125	0.25	0.375	0.25	0.375	1	0.125
72	FillA	2	ns	0.375	0.5	0.875	0.625	0.25	0.75	0.5	0.375	0.5	0.75	0.75	0.75	0.75	0.375	0.625	1
1	FillB	1	ns	0.625	0.75	1	0.75	0.125	0.25	0.625	0.5	0.625	0.75	0.75	0.625	0.375	0.5	1	0.75
2	FillB	2	ns	0.125	0.5	0.375	0.75	0.25	0.75	0.625	0.5	0.5	0.375	0.75	0.625	0.625	0.125	0.375	0.375
3	FillB	1	ns	0.375	0.5	0.625	0	0.875	1	1	0.5	0.625	0.125	1	0.625	0.25	1	0.875	0.625
4	FillB	2	ns	0.625	0.5	0.5	0.125	0.5	0.5	0.75	0.625	0.375	0	0	0	0.5	0.25	0	0.125
5	FillB	1	ns	0.75	0.375	0.125	0.125	0.375	0.625	0.75	0.25	0.5	0.375	0.5	0.5	0	0.125	0.75	0.375
6	FillB	2	ns	0.125	0.25	0.125	0.625	0.25	0	0.25	0.25	0.125	0.375	0.125	0.25	0.625	0.125	0.125	0.5
7	FillB	1	ns	0.5	0.875	0.5	0.375	1	0.5	0.125	0.5	0.5	0.75	0.625	0.5	0.75	0.625	0.625	0.375
8	FillB	2	ns	0.5	1	0.625	1	0.375	0.25	0.625	0.75	0.75	0.5	0.375	0.375	0.625	0.75	0.75	0.75
9	FillB	1	ns	0.5	0.25	0.25	0.25	0.125	1	0.625	0.125	0.125	0.375	0.125	0.25	0.125	0.25	0.375	0.375
10	FillB	2	ns	0.5	0.625	0.75	0.75	0.625	0.125	0.25	0.625	0.75	0.5	0.625	0.625	0.625	0.625	0.375	0.375
11	FillB	1	ns	0.75	0.5	0.375	0.75	0.625	0.625	1	0.625	0.75	1	1	0.75	0.125	0.375	1	0.875
12	FillB	2	ns	1	0.625	0.5	0.75	0.75	1	0.75	1	0.5	0.625	0.25	0.375	0.75	0.5	0.5	0.75
13	FillB	1	ns	0.25	0.5	0.125	0.875	0.75	0.5	0.5	0	0.625	0.5	1	0.5	0.375	1	0.75	0.625
14	FillB	2	ns	0.75	0.625	0.75	0.75	0.625	0.75	0	0.75	0.375	0.5	0.5	0.75	0.5	0.5	0.625	0.5
15	FillB	1	ns	0.75	0.75	0.75	1	0.5	0.5	0.75	0.75	0.5	1	0.625	0.875	1	0.625	0.625	0.375
16	FillB	2	ns	0.375	0.25	0.25	0.375	0.25	0.625	0.375	0.25	0.25	0.25	1	1	0.5	0.25	0.375	0
17	FillB	1	ns	0.375	0.625	0.75	0.5	0.625	0.125	0.5	0.375	0.375	0.625	0.375	0.625	0.5	0.75	0.625	0
18	FillB	2	ns	0.625	0.5	0.75	0.125	0.375	0.125	0.25	0.25	0.5	0.25	0.625	0.25	0.5	0.375	0.25	0.375
19	FillB	1	ns	0.5	1	0.25	0.625	1	0.75	0.625	0.75	0.25	1	1	1	1	0.75	0.5	0.625
20	FillB	2	ns	0.25	0	0.375	0.25	0	0.25	0.625	0.5	0.375	0.125	0.875	0	0.125	0.625	0.125	0.5
21	FillB	1	ns	0.625	1	0.375	0.625	0.75	0.75	1	1	1	1	0.75	0	1	0.375	0.5	0.625
22	FillB	2	ns	0.125	0.25	0.625	0	0.375	0.375	0.125	0.125	1	0.5	0.5	0.5	0.625	0.375	0.5	0.5
23	FillB	1	ns	0.875	0.75	0.75	0.375	0.375	0.5	0.75	0.375	0.375	0.375	0.25	0.625	0.375	1	0.5	0
24	FillB	2	ns	0.375	0.5	0.125	0.125	0.25	0.5	0.125	0	0.25	0.5	0.5	0	0.25	0.25	0.125	0.5
25	FillB	1	ns	0.75	1	0.5	0.625	1	0.5	1	0.5	1	0.75	0.75	1	0.25	0.375	0.625	1
26	FillB	2	ns	0.5	0.375	0.5	0.125	0.625	0.625	0.375	0.375	0.125	0.5	0.75	0.75	0.5	0.5	0.5	0.375
27	FillB	1	ns	0.25	0.375	0.125	0.25	0.75	0.5	0.75	1	0.625	1	0.25	0.75	0.625	0.25	0.75	1
28	FillB	2	ns	0.625	0.75	0.625	0.5	0.375	1	0.125	0.625	1	0.625	1	0.75	1	0.625	0.375	0.75
29	FillB	1	ns	0.25	0.125	0.625	1	0.5	0.125	0.25	0.375	0.125	0.25	0.125	0.125	0.75	0.375	0.5	0.625
30	FillB	2	ns	0.25	0.375	0.375	0.25	0.125	0.625	0.125	0.5	0.625	0.75	0.5	0.5	0.75	0.5	0.75	0.75
31	FillB	1	ns	0.125	0.375	0	0.5	0.375	0	0.375	0.125	0.25	0.375	0.125	0.125	0.375	0.125	0.5	0.25
32	FillB	2	ns	0.625	0.5	0.25	0.75	1	0.25	0.75	0.75	0.5	0.625	0.5	0.25	0.375	0.5	0.75	0.5
33	FillB	1	ns	0.125	0.375	0	0.375	0.25	0.125	0.25	0.125	0.125	0	0.125	0	0.25	0.375	0.75	0
34	FillB	2	ns	0.75	0.5	1	0.25	0.5	0.375	0.5	0.75	1	0.25	0.625	0.625	0.75	0.75	0.625	0.875
35	FillB	1	ns	0.25	0.25	0.25	0.25	0.625	0.25	0.375	0.375	0.125	0.25	0.625	0.375	0.25	0.25	0.75	0.5
36	FillB	2	ns	0.375	0.125	0	0.125	0.5	0.5	0.5	0.625	0.375	0.25	0.25	0.25	0.625	0.625	0.75	0.375
37	FillB	1	ns	0.125	0.5	0.375	0.125	0.625	0.125	0.5	0.25	0.75	0.75	0.75	0.625	0.75	0.25	0.625	0.5
38	FillB	2	ns	0.375	0.5	0.625	1	0.625	0.5	0.5	0.75	0.5	0.625	0.75	0.5	0.625	0.75	0.625	0.625
39	FillB	1	ns	1	0.5	0.625	0.75	0.5	0.625	1	0.75	1	1	0.875	0.375	1	0.625	1	0.75
40	FillB	2	ns	0.25	0.125	0.25	0.375	0.75	0.75	0.5	0.5	0.625	0.625	0.5	0.75	0.75	0.625	0.75	0.75
41	FillB	1	ns	0.5	0.375	0.25	0.5	0.125	0.125	0.5	0.625	0.375	0.75	0.75	0.125	0.375	0.75	0.125	0.375
42	FillB	2	ns	0.375	0.5	0.375	0.375	0.625	0	0	0.375	0.375	0.5	0.625	0.75	0.5	0.75	0.5	0.375
43	FillB	1	ns	0.5	0.875	0.25	0.125	0.75	0.75	0.625	1	0.75	1	0.625	0.5	0.875	0.5	0.625	0.5
44	FillB	2	ns	0.75	1	0.25	0.75	0	0.5	0.5	0.375	0.375	0.5	0.375	0.75	0.5	0.375	0.5	0.75
45	FillB	1	ns	1	0.75	1	0.25	0.625	1	1	0.75	0.5	1	0.75	1	0.75	0.75	0.75	0.625
46	FillB	2	ns	0.25	0.375	0	0.5	0.125	0.5	0.375	0.375	0.25	0.25	0.375	0.5	0.125	0.25	0.375	0.375
47	FillB	1	ns	0.625	1	0.625	1	1	1	1	0.5	1	0.625	0.625	0.5	0.25	0.625	0.75	0.625
48	FillB	2	ns	0.375	0.75	0.75	0.5	0.125	0.375	1	0.75	0.375	0.125	0.125	1	0.25	0	0.75	1
49	FillB	1	ns	0.375	0.625	0.5	0.25	0.75	0.625	0.75	1	0.875	0.625	0.75	0.375	1	0.75	0.5	0.75
50	FillB	2	ns	0.75	0.75	0.375	0.625	0.875	0.5	1	0.375	0.625	0.625	0.25	0.75	0.375	1	1	0.5
51	FillB	1	ns	0.75	0.25	0	0.375	0.25	0.125	0.375	0.5	0.5	0.5	0.25	0.75	0.25	0.125	1	0.375
52	FillB	2	ns	0.375	0.5	0.375	0.5	0.75	0.75	0.875	0.875	0.375	0.375	0.625	0.75	0.75	0.5	0.5	0.75
53	FillB	1	ns	0.375	0.25	0.25	0.375	0.25	0.25	0.5	0.25	0.125	0.75	0.75	0.375	0	0.625	0.625	0.125
54	FillB	2	ns	0.375	1	1	0.75	0.375	0.625	1	0.125	0.5	0.5	1	0.625	0.375	0.75	0.375	0.75
55	FillB	1	ns	0.125	0	0.125	0.375	0.75	0.625	0.75	0.5	0.75	0.375	0.625	0.5	0.125	1	0.625	1
56	FillB	2	ns	1	0.625	0.625	0.625	0.75	0.5	0.625	0.375	0.625	0.5	0	0.625	0.625	0.875	0.75	0.5
57	FillB	1	ns	1	0.75	0.5	0.75	0.75	1	0.5	0.625	0.75	1	1	1	1	0.75	0.625	1
58	FillB	2	ns	0.375	0.375	0.25	0.375	0.125	0.125	0.125	0.375	0.375	0.625	0.25	0.25	0.125	0.125	0.125	0.5
59	FillB	1	ns	0.25	0.5	0.75	0.625	0.75	0.75	1	0.25	0.375	1	0.75	0.375	1	0.5	0.25	0
60	FillB	2	ns	0.25	0.125	0.25	0.125	0.25	0.375	0.25	0.375	0.25	0.125	0	0.25	0.5	0	0.375	0.25
61	FillB	1	ns	1	1	0.625	0.5	1	0.5	0.375	0.75	0.375	1	0.75	0.5	0.375	0.75	0.5	0.5
62	FillB	2	ns	0.625	0	0.375	0.375	0.25	0	0.75	0.375	0.375	1	0.375	0.25	0.625	0.75	0.5	0.5
63	FillB	1	ns	0.375	0.5	0.125	0.25	0.5	0.125	0.25	0.625	0.75	0.25	0.5	0.375	0.75	0.375	0.5	0.375
64	FillB	2	ns	0.5	0.125	0.25	0	0.5	0.25	0.25	0.25	0	0.75	0.75	0.375	0.125	0.5	0.375	0.75
65	FillB	1	ns	0.625	0.625	0.75	0.375	0.625	0.5	0.5	0.375	0.375	0.125	0.5	0.75	0.5	0.75	0.5	0.5
66	FillB	2	ns	0.25	0.75	0.375	1	0.625	0.375	0.25	0	0.125	0.375	0.625	0.625	0.75	0.875	0.25	0.75
67	FillB	1	ns	0.125	0.125	0.125	0.25	0.625	0.75	0.75	1	0.75	0.75	0.625	0.125	0.25	0.25	0.5	0.75
68	FillB	2	ns	1	0.75	0.625	0.25	0.5	0.75	0.25	0.75	0.5	0.5	0.5	1	0.75	0.375	0.75	0.75
69	FillB	1	ns	0.75	0.5	0.75	0.75	1	0.625	1	0.5	0.375	0.25	0.75	0.75	0.375	0.25	0.75	1
70	FillB	2	ns	0.75	0.75	0.25	0.25	0.375	0.125	0.125	0.5	0.625	0.25	0.125	0.625	0.25	0.375	0.5	0.5
71	FillB	1	ns	0.25	0.375	0	0.25	0.375	0.5	0.5	0.25	0.5	0.625	0.5	0.375	0.75	0.375	0.375	0.75
72	FillB	2	ns	0.75	0.5	0.375	1	0.5	0.125	0.625	0.75	0.375	0.625	0.375	0.375	0.25	1	0.75	0.5
1	HebbEffect	1	ns	0.75	0.75	0.875	0.5	1	0.625	0.875	1	1	0.625	1	0.75	1	1	0.75	0.75
2	HebbEffect	2	ns	0.75	0.75	0.625	0.75	0.125	0.75	0	0.5	1	1	0.875	1	1	1	1	1
3	HebbEffect	1	ns	0.5	0	1	1	0.75	0.125	1	1	1	0.375	1	1	0.625	1	0.875	1
4	HebbEffect	2	ns	0.5	0.25	0.125	0.375	0.25	0.625	0.5	0	1	0.75	0.375	0.25	1	0.375	0.125	0
5	HebbEffect	1	ns	0.75	0.125	0.375	1	0.5	1	0.125	0.75	0.5	0.75	0.375	1	0.5	0.75	0.5	0.625
6	HebbEffect	2	ns	1	1	0.25	0.25	0.875	1	0.25	0.75	0.125	0.875	0	0.125	0.5	1	1	0.625
7	HebbEffect	1	ns	0.5	1	0.5	1	1	1	1	1	0.75	1	1	1	1	1	1	1
8	HebbEffect	2	ns	0.125	0.625	0.75	0.25	0.25	1	0.5	0.25	0.375	0.75	0.75	1	0.5	0.625	0.875	1
9	HebbEffect	1	ns	0.75	0.25	0.5	0.5	0.375	0.375	0.5	0.375	0.375	0.375	0	0.375	0.375	0.625	0.25	0.25
10	HebbEffect	2	ns	0.5	0.625	0.625	0.75	0.75	0.75	0.25	0.75	1	0.375	0.875	1	1	0.375	0.625	1
11	HebbEffect	1	ns	0.625	0.75	1	0.75	0.75	1	1	0.75	0.25	1	1	0.75	1	1	1	0.75
12	HebbEffect	2	ns	0.375	1	0.625	0.5	0.375	1	1	1	1	1	1	1	1	1	1	1
13	HebbEffect	1	ns	0.5	0.75	0.25	0.5	0.625	0.75	1	1	1	1	1	1	1	1	1	1
14	HebbEffect	2	ns	0.125	0	0.5	0.5	0.75	0.25	0.375	0.375	0.75	0.625	0.75	0.625	1	0.625	0.75	1
15	HebbEffect	1	ns	1	1	1	1	1	0.75	0.75	1	0.625	0.25	0.375	0.625	0.75	1	0.75	0.25
16	HebbEffect	2	ns	0.5	0.375	0.5	0.75	0.75	0.375	0.125	1	0.375	0.625	0.625	0.625	0.625	0.75	0.5	0.5
17	HebbEffect	1	ns	0.75	1	0.5	0.25	0.5	1	1	0.75	0.5	0.625	0.375	0.75	0.625	1	0.75	1
18	HebbEffect	2	ns	0.75	0.5	0.375	0.25	0.5	0.75	0.625	0.625	0.375	1	0.625	0.375	0.75	0.75	0.5	1
19	HebbEffect	1	ns	0.375	1	0.75	0.375	1	1	0	1	1	1	1	1	1	1	1	1
20	HebbEffect	2	ns	0.75	0.75	0.625	1	0.875	0.625	0.875	1	1	1	0.375	1	1	0.625	1	1
21	HebbEffect	1	ns	0.5	1	0.75	1	0.875	1	1	1	0.625	0.75	0.875	1	1	0.625	0.375	1
22	HebbEffect	2	ns	0.5	0.5	0.5	0.5	0.25	0.75	0.625	0.375	0.25	0.375	0.375	0.5	0.625	0.5	0.5	0.375
23	HebbEffect	1	ns	0.75	1	0.375	0	0.75	0.875	0.75	0.75	0.625	0.625	0.5	0.75	1	1	0.875	0.875
24	HebbEffect	2	ns	0.25	0.375	0.125	0.25	0.25	0.5	0.25	0.75	0.25	0.375	0.5	0.5	0.75	0.625	0.5	0.625
25	HebbEffect	1	ns	0.75	1	0.75	0.375	0.625	0.5	1	1	0.75	1	0.75	1	0.75	1	1	1
26	HebbEffect	2	ns	0.375	0.25	0.375	0.375	0.375	0.625	0.5	0.375	1	1	0.75	0.75	0.5	0.375	0.75	0.375
27	HebbEffect	1	ns	0.5	0.625	0.75	0.75	0.375	0.75	0.75	0.875	0.5	1	0.375	1	1	0.5	0.125	1
28	HebbEffect	2	ns	1	1	0.75	0.75	1	1	0.875	1	1	0.875	1	1	0.875	1	0.625	0.625
29	HebbEffect	1	ns	0.25	0.75	0.25	0.375	0.375	0	0.25	0.125	0.25	0.375	0.125	0.5	0	0.25	0	0.375
30	HebbEffect	2	ns	0.25	0.375	0.25	0.125	0.25	0.25	0.625	0.25	0.375	0.5	0.5	0.375	0.5	0.5	0.5	0
31	HebbEffect	1	ns	0.375	0.25	0.125	0.125	0.25	0.125	0.25	0.25	0.375	0.25	0.5	0.125	0.25	0.25	0.25	0.25
32	HebbEffect	2	ns	0.875	0.75	0.625	1	0.125	1	1	0.625	1	1	1	1	1	1	1	1
33	HebbEffect	1	ns	0.5	0.125	0.125	0.25	0	0.125	0.125	0.375	0.625	0.625	0.5	0.5	0.75	0.625	0.75	0.5
34	HebbEffect	2	ns	0.875	0.5	1	0.625	1	0.625	0.5	0.875	0.375	0.625	0.75	1	0.75	1	0.5	0.75
35	HebbEffect	1	ns	0.625	0.25	0.375	0.375	0.25	0.375	0.25	0.625	0.125	0.25	0.375	0.375	0.75	0.625	0.75	0.5
36	HebbEffect	2	ns	0.25	0.5	0.625	0.625	0.125	0.5	0.75	0.375	0.625	0.5	0.5	0.375	0.625	0.375	0.5	0.625
37	HebbEffect	1	ns	0.75	0.625	0.5	0.625	0.75	0.625	0.625	0.625	0.5	0.75	0.625	0.75	0.625	0.375	0.75	0.25
38	HebbEffect	2	ns	0.625	0.625	0.625	0.375	0.375	0.5	0.5	0.5	0.375	0.375	0.625	0.5	0.625	0.125	0.625	0.625
39	HebbEffect	1	ns	0.75	0.75	1	1	1	0.75	1	1	1	1	1	1	1	1	1	1
40	HebbEffect	2	ns	1	0.5	0.375	0.625	0.25	0.75	0.75	0.75	1	1	0.75	0.75	1	0	1	0.5
41	HebbEffect	1	ns	0.5	0.625	0.5	1	0.375	0.375	0.75	1	1	1	0.625	1	1	1	1	1
42	HebbEffect	2	ns	0.375	0.25	0	0.125	0.375	0.375	0.625	0.375	0.5	0.75	0.625	1	1	0.75	1	1
43	HebbEffect	1	ns	0.875	0.625	0.25	0.5	0.625	0.125	0.5	0.5	0.5	0.625	0.5	0.375	0.5	0.5	0.5	1
44	HebbEffect	2	ns	0.375	0.375	0.125	0.625	0.375	0.75	0.75	0.75	0.75	0.75	0.625	0.625	0.625	1	0.375	1
45	HebbEffect	1	ns	0.5	0.75	0.25	0.75	0.625	0.625	0.75	1	1	0.75	0.625	1	1	1	1	1
46	HebbEffect	2	ns	0.125	1	0.375	0.375	0.125	0	0.5	0.5	0.375	0.25	0.5	0.5	0.5	0.375	0.5	0.625
47	HebbEffect	1	ns	0.5	0.375	0.625	0.375	1	1	0.625	0.5	0.5	0.5	1	1	1	1	0.5	1
48	HebbEffect	2	ns	0.75	0.625	0.5	0.125	0.5	0.625	1	1	0.625	1	0.375	0.25	0.625	0.5	0.75	1
49	HebbEffect	1	ns	0.125	0.5	0.25	0.75	0.75	0.75	0.75	0.75	1	1	1	1	1	1	1	1
50	HebbEffect	2	ns	0.625	0.75	1	0.75	0.75	0.125	0.5	1	0.375	0.5	0.625	0.75	0.625	0.75	0.75	0.625
51	HebbEffect	1	ns	0.375	0.375	0.375	0.75	0.125	0.375	0.375	0.125	0.875	0.125	0.5	1	0.5	0.625	0.625	0.25
52	HebbEffect	2	ns	0.625	0.125	0.625	1	0.375	0.75	0.75	0.625	0.75	0.75	0.75	0.625	0.625	0.875	0.75	0.75
53	HebbEffect	1	ns	0.125	0.625	0.75	1	1	1	1	1	1	0.875	1	0.75	1	1	0.75	0.75
54	HebbEffect	2	ns	0.125	0.75	0.25	1	1	0.625	1	0.5	0.75	0.75	1	0.625	1	0.375	0.75	1
