"obeyedInstructions" "subj" "PrePost" "condition" "Group" "block" "list" "trialnumber" "task" "length" "serpos" "word" "writtenSP" "outputorder" "prepost" "cond" "group" "tasktype"
1 1 "PRE" "FR" "PreFR" 1 3 3 "FR" 15 3 "odor" 7 7 1 1 1 1
1 1 "PRE" "FR" "PreFR" 1 3 3 "FR" 15 4 "retreat" 6 6 1 1 1 1
1 1 "PRE" "FR" "PreFR" 1 3 3 "FR" 15 5 "attain" -1 -1 1 1 1 1
1 1 "PRE" "FR" "PreFR" 1 3 3 "FR" 15 6 "able" -1 -1 1 1 1 1
1 1 "PRE" "FR" "PreFR" 1 3 3 "FR" 15 7 "recent" -1 -1 1 1 1 1
1 1 "PRE" "FR" "PreFR" 1 3 3 "FR" 15 8 "offer" -1 -1 1 1 1 1
1 1 "PRE" "FR" "PreFR" 1 3 3 "FR" 15 9 "decide" -1 -1 1 1 1 1
1 1 "PRE" "FR" "PreFR" 1 3 3 "FR" 15 10 "exchange" -1 -1 1 1 1 1
1 1 "PRE" "FR" "PreFR" 1 3 3 "FR" 15 11 "illness" 1 1 1 1 1 1
1 1 "PRE" "FR" "PreFR" 1 3 3 "FR" 15 12 "assist" 2 2 1 1 1 1
1 1 "PRE" "FR" "PreFR" 1 3 3 "FR" 15 13 "behind" 3 3 1 1 1 1
1 1 "PRE" "FR" "PreFR" 1 3 3 "FR" 15 14 "nothing" 4 4 1 1 1 1
1 1 "PRE" "FR" "PreFR" 1 3 3 "FR" 15 15 "science" 5 5 1 1 1 1
1 1 "PRE" "FR" "PreFR" 1 4 4 "FR" 12 1 "harvest" -1 -1 1 1 1 1
1 1 "PRE" "FR" "PreFR" 1 4 4 "FR" 12 2 "extra" -1 -1 1 1 1 1
1 1 "PRE" "FR" "PreFR" 1 4 4 "FR" 12 3 "luncheon" -1 -1 1 1 1 1
1 1 "PRE" "FR" "PreFR" 1 4 4 "FR" 12 4 "butcher" -1 -1 1 1 1 1
1 1 "PRE" "FR" "PreFR" 1 4 4 "FR" 12 5 "mistake" -1 -1 1 1 1 1
1 1 "PRE" "FR" "PreFR" 1 4 4 "FR" 12 6 "proper" -1 -1 1 1 1 1
1 1 "PRE" "FR" "PreFR" 1 4 4 "FR" 12 7 "funeral" 3 3 1 1 1 1
1 1 "PRE" "FR" "PreFR" 1 4 4 "FR" 12 8 "gallant" 4 4 1 1 1 1
1 1 "PRE" "FR" "PreFR" 1 4 4 "FR" 12 9 "further" -1 -1 1 1 1 1
1 1 "PRE" "FR" "PreFR" 1 4 4 "FR" 12 10 "series" -1 -1 1 1 1 1
1 1 "PRE" "FR" "PreFR" 1 4 4 "FR" 12 11 "venture" 1 1 1 1 1 1
1 1 "PRE" "FR" "PreFR" 1 4 4 "FR" 12 12 "engine" 2 2 1 1 1 1
1 1 "PRE" "FR" "PreFR" 1 5 5 "FR" 4 1 "item" 1 1 1 1 1 1
1 1 "PRE" "FR" "PreFR" 1 5 5 "FR" 4 2 "wanting" -1 -1 1 1 1 1
1 1 "PRE" "FR" "PreFR" 1 5 5 "FR" 4 3 "merchant" 2 2 1 1 1 1
1 1 "PRE" "FR" "PreFR" 1 5 5 "FR" 4 4 "hither" 3 3 1 1 1 1
1 1 "PRE" "FR" "PreFR" 1 6 6 "FR" 8 1 "mayor" 1 1 1 1 1 1
1 1 "PRE" "FR" "PreFR" 1 6 6 "FR" 8 2 "lion" 4 4 1 1 1 1
1 1 "PRE" "FR" "PreFR" 1 6 6 "FR" 8 3 "status" -1 -1 1 1 1 1
1 1 "PRE" "FR" "PreFR" 1 6 6 "FR" 8 4 "recall" -1 -1 1 1 1 1
1 1 "PRE" "FR" "PreFR" 1 6 6 "FR" 8 5 "persuade" 2 2 1 1 1 1
1 1 "PRE" "FR" "PreFR" 1 6 6 "FR" 8 6 "planet" -1 -1 1 1 1 1
1 1 "PRE" "FR" "PreFR" 1 6 6 "FR" 8 7 "ashore" -1 -1 1 1 1 1
1 1 "PRE" "FR" "PreFR" 1 6 6 "FR" 8 8 "costume" 3 3 1 1 1 1
1 1 "PRE" "FR" "PreFR" 1 7 7 "FR" 8 1 "cousin" 1 1 1 1 1 1
1 1 "PRE" "FR" "PreFR" 1 7 7 "FR" 8 2 "chapter" -1 -1 1 1 1 1
1 1 "PRE" "FR" "PreFR" 1 7 7 "FR" 8 3 "notion" -1 -1 1 1 1 1
1 1 "PRE" "FR" "PreFR" 1 7 7 "FR" 8 4 "hostile" -1 -1 1 1 1 1
1 1 "PRE" "FR" "PreFR" 1 7 7 "FR" 8 5 "velvet" -1 -1 1 1 1 1
1 1 "PRE" "FR" "PreFR" 1 7 7 "FR" 8 6 "comfort" 4 4 1 1 1 1
1 1 "PRE" "FR" "PreFR" 1 7 7 "FR" 8 7 "invent" 2 2 1 1 1 1
1 1 "PRE" "FR" "PreFR" 1 7 7 "FR" 8 8 "dinner" 3 3 1 1 1 1
1 1 "PRE" "FR" "PreFR" 1 8 8 "FR" 4 1 "entire" 1 1 1 1 1 1
1 1 "PRE" "FR" "PreFR" 1 8 8 "FR" 4 2 "monarch" 2 2 1 1 1 1
1 1 "PRE" "FR" "PreFR" 1 8 8 "FR" 4 3 "lawyer" -1 -1 1 1 1 1
1 1 "PRE" "FR" "PreFR" 1 8 8 "FR" 4 4 "southern" 3 3 1 1 1 1
1 1 "PRE" "FR" "PreFR" 1 9 9 "FR" 6 1 "deadly" 1 1 1 1 1 1
1 1 "PRE" "FR" "PreFR" 1 9 9 "FR" 6 2 "season" 2 2 1 1 1 1
1 1 "PRE" "FR" "PreFR" 1 9 9 "FR" 6 3 "sulphur" 3 3 1 1 1 1
1 1 "PRE" "FR" "PreFR" 1 9 9 "FR" 6 4 "baby" 4 4 1 1 1 1
1 1 "PRE" "FR" "PreFR" 1 9 9 "FR" 6 5 "without" 5 5 1 1 1 1
1 1 "PRE" "FR" "PreFR" 1 9 9 "FR" 6 6 "study" 6 6 1 1 1 1
1 1 "PRE" "FR" "PreFR" 1 10 10 "FR" 5 1 "hammer" 1 1 1 1 1 1
1 1 "PRE" "FR" "PreFR" 1 10 10 "FR" 5 2 "apply" 2 2 1 1 1 1
1 1 "PRE" "FR" "PreFR" 1 10 10 "FR" 5 3 "handsome" 3 3 1 1 1 1
1 1 "PRE" "FR" "PreFR" 1 10 10 "FR" 5 4 "cannon" 4 4 1 1 1 1
1 1 "PRE" "FR" "PreFR" 1 10 10 "FR" 5 5 "often" 5 5 1 1 1 1
1 1 "PRE" "FR" "PreFR" 1 11 11 "FR" 12 1 "narrow" -1 -1 1 1 1 1
1 1 "PRE" "FR" "PreFR" 1 11 11 "FR" 12 2 "import" -1 -1 1 1 1 1
1 1 "PRE" "FR" "PreFR" 1 11 11 "FR" 12 3 "enough" -1 -1 1 1 1 1
1 1 "PRE" "FR" "PreFR" 1 11 11 "FR" 12 4 "outline" -1 -1 1 1 1 1
1 1 "PRE" "FR" "PreFR" 1 11 11 "FR" 12 5 "improve" -1 -1 1 1 1 1
1 1 "PRE" "FR" "PreFR" 1 11 11 "FR" 12 6 "distress" -1 -1 1 1 1 1
1 1 "PRE" "FR" "PreFR" 1 11 11 "FR" 12 7 "oyster" 3 3 1 1 1 1
1 1 "PRE" "FR" "PreFR" 1 11 11 "FR" 12 8 "destroy" 4 4 1 1 1 1
1 1 "PRE" "FR" "PreFR" 1 11 11 "FR" 12 9 "basin" -1 -1 1 1 1 1
1 1 "PRE" "FR" "PreFR" 1 11 11 "FR" 12 10 "talent" 2 2 1 1 1 1
1 1 "PRE" "FR" "PreFR" 1 11 11 "FR" 12 11 "suffer" -1 -1 1 1 1 1
1 1 "PRE" "FR" "PreFR" 1 11 11 "FR" 12 12 "mental" 1 1 1 1 1 1
1 1 "PRE" "FR" "PreFR" 1 12 12 "FR" 7 1 "princess" 1 1 1 1 1 1
1 1 "PRE" "FR" "PreFR" 1 12 12 "FR" 7 2 "mountain" 5 5 1 1 1 1
1 1 "PRE" "FR" "PreFR" 1 12 12 "FR" 7 3 "amuse" 4 4 1 1 1 1
1 1 "PRE" "FR" "PreFR" 1 12 12 "FR" 7 4 "stocking" -1 -1 1 1 1 1
1 1 "PRE" "FR" "PreFR" 1 12 12 "FR" 7 5 "carbon" -1 -1 1 1 1 1
1 1 "PRE" "FR" "PreFR" 1 12 12 "FR" 7 6 "golden" 2 2 1 1 1 1
1 1 "PRE" "FR" "PreFR" 1 12 12 "FR" 7 7 "yellow" 3 3 1 1 1 1
1 1 "PRE" "FR" "PreFR" 1 13 13 "FR" 12 1 "explain" 2 2 1 1 1 1
1 1 "PRE" "FR" "PreFR" 1 13 13 "FR" 12 2 "million" -1 -1 1 1 1 1
1 1 "PRE" "FR" "PreFR" 1 13 13 "FR" 12 3 "salad" -1 -1 1 1 1 1
1 1 "PRE" "FR" "PreFR" 1 13 13 "FR" 12 4 "devote" -1 -1 1 1 1 1
1 1 "PRE" "FR" "PreFR" 1 13 13 "FR" 12 5 "parcel" -1 -1 1 1 1 1
1 1 "PRE" "FR" "PreFR" 1 13 13 "FR" 12 6 "traffic" -1 -1 1 1 1 1
1 1 "PRE" "FR" "PreFR" 1 13 13 "FR" 12 7 "gently" -1 -1 1 1 1 1
1 1 "PRE" "FR" "PreFR" 1 13 13 "FR" 12 8 "machine" -1 -1 1 1 1 1
1 1 "PRE" "FR" "PreFR" 1 13 13 "FR" 12 9 "compound" 4 4 1 1 1 1
1 1 "PRE" "FR" "PreFR" 1 13 13 "FR" 12 10 "shortly" 5 5 1 1 1 1
1 1 "PRE" "FR" "PreFR" 1 13 13 "FR" 12 11 "junior" 1 1 1 1 1 1
1 1 "PRE" "FR" "PreFR" 1 13 13 "FR" 12 12 "bargain" 3 3 1 1 1 1
1 1 "PRE" "FR" "PreFR" 1 14 14 "FR" 6 1 "button" 1 1 1 1 1 1
1 1 "PRE" "FR" "PreFR" 1 14 14 "FR" 6 2 "climate" 2 2 1 1 1 1
1 1 "PRE" "FR" "PreFR" 1 14 14 "FR" 6 3 "abide" -1 -1 1 1 1 1
1 1 "PRE" "FR" "PreFR" 1 14 14 "FR" 6 4 "beneath" -1 -1 1 1 1 1
1 1 "PRE" "FR" "PreFR" 1 14 14 "FR" 6 5 "belong" -1 -1 1 1 1 1
1 1 "PRE" "FR" "PreFR" 1 14 14 "FR" 6 6 "dismay" -1 -1 1 1 1 1
1 1 "PRE" "FR" "PreFR" 1 15 15 "FR" 4 1 "conquer" 1 1 1 1 1 1
1 1 "PRE" "FR" "PreFR" 1 15 15 "FR" 4 2 "expose" 2 2 1 1 1 1
1 1 "PRE" "FR" "PreFR" 1 15 15 "FR" 4 3 "powder" 3 3 1 1 1 1
1 1 "PRE" "FR" "PreFR" 1 15 15 "FR" 4 4 "thunder" -1 -1 1 1 1 1
1 1 "PRE" "FR" "PreFR" 1 16 16 "FR" 7 1 "beside" 2 2 1 1 1 1
1 1 "PRE" "FR" "PreFR" 1 16 16 "FR" 7 2 "meaning" 3 3 1 1 1 1
1 1 "PRE" "FR" "PreFR" 1 16 16 "FR" 7 3 "sailor" -1 -1 1 1 1 1
1 1 "PRE" "FR" "PreFR" 1 16 16 "FR" 7 4 "scholar" 1 1 1 1 1 1
1 1 "PRE" "FR" "PreFR" 1 16 16 "FR" 7 5 "inside" 4 4 1 1 1 1
1 1 "PRE" "FR" "PreFR" 1 16 16 "FR" 7 6 "around" 5 5 1 1 1 1
1 1 "PRE" "FR" "PreFR" 1 16 16 "FR" 7 7 "device" -1 -1 1 1 1 1
1 1 "PRE" "FR" "PreFR" 1 17 17 "FR" 4 1 "permit" 1 1 1 1 1 1
1 1 "PRE" "FR" "PreFR" 1 17 17 "FR" 4 2 "assault" 2 2 1 1 1 1
1 1 "PRE" "FR" "PreFR" 1 17 17 "FR" 4 3 "letter" 3 3 1 1 1 1
1 1 "PRE" "FR" "PreFR" 1 17 17 "FR" 4 4 "possess" -1 -1 1 1 1 1
1 1 "PRE" "FR" "PreFR" 1 18 18 "FR" 2 1 "police" 1 1 1 1 1 1
1 1 "PRE" "FR" "PreFR" 1 18 18 "FR" 2 2 "peaceful" 2 2 1 1 1 1
1 1 "PRE" "FR" "PreFR" 1 19 19 "FR" 7 1 "major" 1 1 1 1 1 1
1 1 "PRE" "FR" "PreFR" 1 19 19 "FR" 7 2 "fever" 2 2 1 1 1 1
1 1 "PRE" "FR" "PreFR" 1 19 19 "FR" 7 3 "quarter" -1 -1 1 1 1 1
1 1 "PRE" "FR" "PreFR" 1 19 19 "FR" 7 4 "daylight" 3 3 1 1 1 1
1 1 "PRE" "FR" "PreFR" 1 19 19 "FR" 7 5 "except" 4 4 1 1 1 1
1 1 "PRE" "FR" "PreFR" 1 19 19 "FR" 7 6 "western" -1 -1 1 1 1 1
1 1 "PRE" "FR" "PreFR" 1 19 19 "FR" 7 7 "novel" 5 5 1 1 1 1
1 1 "PRE" "FR" "PreFR" 1 20 20 "FR" 6 1 "matter" 1 1 1 1 1 1
1 1 "PRE" "FR" "PreFR" 1 20 20 "FR" 6 2 "fiercely" 2 2 1 1 1 1
1 1 "PRE" "FR" "PreFR" 1 20 20 "FR" 6 3 "cannot" 3 3 1 1 1 1
1 1 "PRE" "FR" "PreFR" 1 20 20 "FR" 6 4 "temple" 4 4 1 1 1 1
1 1 "PRE" "FR" "PreFR" 1 20 20 "FR" 6 5 "organ" 5 5 1 1 1 1
1 1 "PRE" "FR" "PreFR" 1 20 20 "FR" 6 6 "person" 6 6 1 1 1 1
1 1 "PRE" "FR" "PreFR" 1 21 21 "FR" 5 1 "patience" 1 1 1 1 1 1
1 1 "PRE" "FR" "PreFR" 1 21 21 "FR" 5 2 "table" 2 2 1 1 1 1
1 1 "PRE" "FR" "PreFR" 1 21 21 "FR" 5 3 "pigeon" 3 3 1 1 1 1
1 1 "PRE" "FR" "PreFR" 1 21 21 "FR" 5 4 "await" 4 4 1 1 1 1
1 1 "PRE" "FR" "PreFR" 1 21 21 "FR" 5 5 "mostly" 5 5 1 1 1 1
1 1 "PRE" "FR" "PreFR" 1 22 22 "FR" 2 1 "funny" 1 1 1 1 1 1
1 1 "PRE" "FR" "PreFR" 1 22 22 "FR" 2 2 "jacket" 2 2 1 1 1 1
1 1 "PRE" "FR" "PreFR" 1 23 23 "FR" 15 1 "concern" -1 -1 1 1 1 1
1 1 "PRE" "FR" "PreFR" 1 23 23 "FR" 15 2 "commence" -1 -1 1 1 1 1
1 1 "PRE" "FR" "PreFR" 1 23 23 "FR" 15 3 "country" -1 -1 1 1 1 1
1 1 "PRE" "FR" "PreFR" 1 23 23 "FR" 15 4 "darkness" -1 -1 1 1 1 1
1 1 "PRE" "FR" "PreFR" 1 23 23 "FR" 15 5 "legend" -1 -1 1 1 1 1
1 1 "PRE" "FR" "PreFR" 1 23 23 "FR" 15 6 "angry" -1 -1 1 1 1 1
1 1 "PRE" "FR" "PreFR" 1 23 23 "FR" 15 7 "heavy" -1 -1 1 1 1 1
1 1 "PRE" "FR" "PreFR" 1 23 23 "FR" 15 8 "amaze" -1 -1 1 1 1 1
1 1 "PRE" "FR" "PreFR" 1 23 23 "FR" 15 9 "before" -1 -1 1 1 1 1
1 1 "PRE" "FR" "PreFR" 1 23 23 "FR" 15 10 "precious" -1 -1 1 1 1 1
1 1 "PRE" "FR" "PreFR" 1 23 23 "FR" 15 11 "compare" 4 4 1 1 1 1
1 1 "PRE" "FR" "PreFR" 1 23 23 "FR" 15 12 "colonel" 3 3 1 1 1 1
1 1 "PRE" "FR" "PreFR" 1 23 23 "FR" 15 13 "taken" -1 -1 1 1 1 1
1 1 "PRE" "FR" "PreFR" 1 23 23 "FR" 15 14 "sister" 1 1 1 1 1 1
1 1 "PRE" "FR" "PreFR" 1 23 23 "FR" 15 15 "request" 2 2 1 1 1 1
1 1 "PRE" "FR" "PreFR" 1 24 24 "FR" 5 1 "convert" 1 1 1 1 1 1
1 1 "PRE" "FR" "PreFR" 1 24 24 "FR" 5 2 "resign" -1 -1 1 1 1 1
1 1 "PRE" "FR" "PreFR" 1 24 24 "FR" 5 3 "twilight" 2 2 1 1 1 1
1 1 "PRE" "FR" "PreFR" 1 24 24 "FR" 5 4 "nephew" 3 3 1 1 1 1
1 1 "PRE" "FR" "PreFR" 1 24 24 "FR" 5 5 "scarcely" 4 4 1 1 1 1
1 1 "PRE" "FR" "PreFR" 1 25 25 "FR" 7 1 "control" 1 1 1 1 1 1
1 1 "PRE" "FR" "PreFR" 1 25 25 "FR" 7 2 "itself" 2 2 1 1 1 1
1 1 "PRE" "FR" "PreFR" 1 25 25 "FR" 7 3 "balance" 3 3 1 1 1 1
1 1 "PRE" "FR" "PreFR" 1 25 25 "FR" 7 4 "depart" -1 -1 1 1 1 1
1 1 "PRE" "FR" "PreFR" 1 25 25 "FR" 7 5 "middle" 5 5 1 1 1 1
1 1 "PRE" "FR" "PreFR" 1 25 25 "FR" 7 6 "express" -1 -1 1 1 1 1
1 1 "PRE" "FR" "PreFR" 1 25 25 "FR" 7 7 "charming" 6 6 1 1 1 1
1 1 "PRE" "FR" "PreFR" 1 26 26 "FR" 5 1 "reckon" 1 1 1 1 1 1
1 1 "PRE" "FR" "PreFR" 1 26 26 "FR" 5 2 "social" 2 2 1 1 1 1
1 1 "PRE" "FR" "PreFR" 1 26 26 "FR" 5 3 "disgust" -1 -1 1 1 1 1
1 1 "PRE" "FR" "PreFR" 1 26 26 "FR" 5 4 "correct" 5 5 1 1 1 1
1 1 "PRE" "FR" "PreFR" 1 26 26 "FR" 5 5 "sprinkle" 4 4 1 1 1 1
1 1 "PRE" "FR" "PreFR" 1 27 27 "FR" 2 1 "silence" 1 1 1 1 1 1
1 1 "PRE" "FR" "PreFR" 1 27 27 "FR" 2 2 "prison" 2 2 1 1 1 1
1 1 "PRE" "FR" "PreFR" 1 28 28 "FR" 6 1 "occur" 4 4 1 1 1 1
1 1 "PRE" "FR" "PreFR" 1 28 28 "FR" 6 2 "northern" 5 5 1 1 1 1
1 1 "PRE" "FR" "PreFR" 1 28 28 "FR" 6 3 "jolly" 3 3 1 1 1 1
1 1 "PRE" "FR" "PreFR" 1 28 28 "FR" 6 4 "maiden" -1 -1 1 1 1 1
1 1 "PRE" "FR" "PreFR" 1 28 28 "FR" 6 5 "beauty" 2 2 1 1 1 1
1 1 "PRE" "FR" "PreFR" 1 28 28 "FR" 6 6 "always" 1 1 1 1 1 1
1 1 "PRE" "FR" "PreFR" 1 29 29 "FR" 8 1 "unto" -1 -1 1 1 1 1
1 1 "PRE" "FR" "PreFR" 1 29 29 "FR" 8 2 "darling" -1 -1 1 1 1 1
1 1 "PRE" "FR" "PreFR" 1 29 29 "FR" 8 3 "puzzle" -1 -1 1 1 1 1
1 1 "PRE" "FR" "PreFR" 1 29 29 "FR" 8 4 "eastern" 4 4 1 1 1 1
1 1 "PRE" "FR" "PreFR" 1 29 29 "FR" 8 5 "beyond" -1 -1 1 1 1 1
1 1 "PRE" "FR" "PreFR" 1 29 29 "FR" 8 6 "provide" 1 1 1 1 1 1
1 1 "PRE" "FR" "PreFR" 1 29 29 "FR" 8 7 "silver" 2 2 1 1 1 1
1 1 "PRE" "FR" "PreFR" 1 29 29 "FR" 8 8 "mirror" 3 3 1 1 1 1
1 1 "PRE" "FR" "PreFR" 1 30 30 "FR" 2 1 "rattle" 1 1 1 1 1 1
1 1 "PRE" "FR" "PreFR" 1 30 30 "FR" 2 2 "measure" 2 2 1 1 1 1
1 1 "PRE" "FR" "PreFR" 1 31 31 "FR" 8 1 "resolve" -1 -1 1 1 1 1
1 1 "PRE" "FR" "PreFR" 1 31 31 "FR" 8 2 "guilty" -1 -1 1 1 1 1
1 1 "PRE" "FR" "PreFR" 1 31 31 "FR" 8 3 "lovely" -1 -1 1 1 1 1
1 1 "PRE" "FR" "PreFR" 1 31 31 "FR" 8 4 "justice" -1 -1 1 1 1 1
1 1 "PRE" "FR" "PreFR" 1 31 31 "FR" 8 5 "resort" -1 -1 1 1 1 1
1 1 "PRE" "FR" "PreFR" 1 31 31 "FR" 8 6 "regret" 3 3 1 1 1 1
1 1 "PRE" "FR" "PreFR" 1 31 31 "FR" 8 7 "stumble" 2 2 1 1 1 1
1 1 "PRE" "FR" "PreFR" 1 31 31 "FR" 8 8 "traitor" 1 1 1 1 1 1
1 1 "PRE" "FR" "PreFR" 1 32 32 "FR" 12 1 "language" -1 -1 1 1 1 1
1 1 "PRE" "FR" "PreFR" 1 32 32 "FR" 12 2 "bubble" -1 -1 1 1 1 1
1 1 "PRE" "FR" "PreFR" 1 32 32 "FR" 12 3 "coffee" -1 -1 1 1 1 1
1 1 "PRE" "FR" "PreFR" 1 32 32 "FR" 12 4 "idle" -1 -1 1 1 1 1
1 1 "PRE" "FR" "PreFR" 1 32 32 "FR" 12 5 "frighten" -1 -1 1 1 1 1
1 1 "PRE" "FR" "PreFR" 1 32 32 "FR" 12 6 "liquor" -1 -1 1 1 1 1
1 1 "PRE" "FR" "PreFR" 1 32 32 "FR" 12 7 "disturb" 2 2 1 1 1 1
1 1 "PRE" "FR" "PreFR" 1 32 32 "FR" 12 8 "harbor" -1 -1 1 1 1 1
1 1 "PRE" "FR" "PreFR" 1 32 32 "FR" 12 9 "asleep" 4 4 1 1 1 1
1 1 "PRE" "FR" "PreFR" 1 32 32 "FR" 12 10 "ancient" 3 3 1 1 1 1
1 1 "PRE" "FR" "PreFR" 1 32 32 "FR" 12 11 "flatter" -1 -1 1 1 1 1
1 1 "PRE" "FR" "PreFR" 1 32 32 "FR" 12 12 "color" 1 1 1 1 1 1
1 1 "PRE" "FR" "PreFR" 2 1 33 "FR" 5 1 "gracious" 1 1 1 1 1 1
1 1 "PRE" "FR" "PreFR" 2 1 33 "FR" 5 2 "contents" 4 4 1 1 1 1
1 1 "PRE" "FR" "PreFR" 2 1 33 "FR" 5 3 "pupil" 2 2 1 1 1 1
1 1 "PRE" "FR" "PreFR" 2 1 33 "FR" 5 4 "whisper" -1 -1 1 1 1 1
1 1 "PRE" "FR" "PreFR" 2 1 33 "FR" 5 5 "discuss" 3 3 1 1 1 1
1 1 "PRE" "FR" "PreFR" 2 2 34 "FR" 6 1 "begin" -1 -1 1 1 1 1
1 1 "PRE" "FR" "PreFR" 2 2 34 "FR" 6 2 "habit" -1 -1 1 1 1 1
1 1 "PRE" "FR" "PreFR" 2 2 34 "FR" 6 3 "comrade" 4 4 1 1 1 1
1 1 "PRE" "FR" "PreFR" 2 2 34 "FR" 6 4 "leather" 2 2 1 1 1 1
1 1 "PRE" "FR" "PreFR" 2 2 34 "FR" 6 5 "refuse" 3 3 1 1 1 1
1 1 "PRE" "FR" "PreFR" 2 2 34 "FR" 6 6 "softly" 1 1 1 1 1 1
1 1 "PRE" "FR" "PreFR" 2 3 35 "FR" 7 1 "turkey" 4 4 1 1 1 1
1 1 "PRE" "FR" "PreFR" 2 3 35 "FR" 7 2 "moisture" 6 6 1 1 1 1
1 1 "PRE" "FR" "PreFR" 2 3 35 "FR" 7 3 "admire" -1 -1 1 1 1 1
1 1 "PRE" "FR" "PreFR" 2 3 35 "FR" 7 4 "instinct" -1 -1 1 1 1 1
1 1 "PRE" "FR" "PreFR" 2 3 35 "FR" 7 5 "awhile" 1 1 1 1 1 1
1 1 "PRE" "FR" "PreFR" 2 3 35 "FR" 7 6 "rocky" 2 2 1 1 1 1
1 1 "PRE" "FR" "PreFR" 2 3 35 "FR" 7 7 "helmet" 3 3 1 1 1 1
1 1 "PRE" "FR" "PreFR" 2 4 36 "FR" 15 1 "achieve" -1 -1 1 1 1 1
1 1 "PRE" "FR" "PreFR" 2 4 36 "FR" 15 2 "favor" -1 -1 1 1 1 1
1 1 "PRE" "FR" "PreFR" 2 4 36 "FR" 15 3 "master" -1 -1 1 1 1 1
1 1 "PRE" "FR" "PreFR" 2 4 36 "FR" 15 4 "arrest" -1 -1 1 1 1 1
1 1 "PRE" "FR" "PreFR" 2 4 36 "FR" 15 5 "beggar" -1 -1 1 1 1 1
1 1 "PRE" "FR" "PreFR" 2 4 36 "FR" 15 6 "exclaim" -1 -1 1 1 1 1
1 1 "PRE" "FR" "PreFR" 2 4 36 "FR" 15 7 "greatly" -1 -1 1 1 1 1
