subject	worupc2	worupc3	worupc4	worupc5	worupc6	worupc7	letupc2	letupc3	letupc4	letupc5	letupc6	letupc7	letupc8	stmset2	stmset3	stmset4	stmset5	stmset6	stmset7	rspupc2	rspupc3	rspupc4	rspupc5	opupc2	opupc3	opupc4	opupc5	wmset2	wmset3	wmset4	wmset5
198.00	1.00	1.00	0.92	0.67	0.22	0.33	1.00	1.00	0.92	0.67	0.61	0.10	0.33	1.00	1.00	0.92	0.67	0.42	0.21	1.00	0.78	0.83	0.47	1.00	0.44	0.83	0.40	1.00	0.61	0.83	0.43
199.00	0.83	0.78	0.92	0.80	0.39	0.43	1.00	1.00	0.83	0.87	0.61	0.48	0.33	0.92	0.89	0.88	0.83	0.50	0.45	1.00	0.78	0.75	0.67	1.00	1.00	0.50	0.27	1.00	0.89	0.63	0.47
200.00	1.00	1.00	0.92	1.00	0.83	0.95	1.00	0.67	1.00	0.93	0.89	0.62	0.71	1.00	0.83	0.96	0.97	0.86	0.79	1.00	0.44	0.92	0.33	0.83	0.67	0.42	0.73	0.92	0.56	0.67	0.53
201.00	1.00	1.00	1.00	0.93	0.78	0.48	1.00	1.00	1.00	1.00	1.00	0.90	0.54	1.00	1.00	1.00	0.97	0.89	0.69	1.00	0.89	0.50	0.60	1.00	0.89	0.83	0.60	1.00	0.89	0.67	0.60
204.00	1.00	1.00	0.75	0.60	0.44	0.29	1.00	1.00	1.00	0.73	0.61	0.57	0.33	1.00	1.00	0.88	0.67	0.53	0.43	0.83	0.89	0.75	0.80	1.00	1.00	0.83	0.73	0.92	0.94	0.79	0.77
206.00	1.00	1.00	0.92	0.53	0.17	0.33	1.00	1.00	0.92	1.00	0.50	0.38	0.25	1.00	1.00	0.92	0.77	0.33	0.36	1.00	1.00	0.67	0.60	1.00	0.56	0.17	0.33	1.00	0.78	0.42	0.47
208.00	0.83	0.67	0.67	0.27	0.22	0.10	1.00	1.00	0.83	0.87	0.39	0.05	0.29	0.92	0.83	0.75	0.57	0.31	0.07	0.50	0.11	0.25	0.27	0.00	0.11	0.00	0.00	0.25	0.11	0.13	0.13
211.00	1.00	1.00	1.00	1.00	0.83	0.76	1.00	1.00	1.00	1.00	1.00	0.90	0.75	1.00	1.00	1.00	1.00	0.92	0.83	1.00	1.00	0.83	0.80	1.00	0.78	0.92	0.93	1.00	0.89	0.88	0.87
212.00	1.00	1.00	1.00	0.53	0.44	0.38	1.00	1.00	1.00	1.00	1.00	0.48	0.38	1.00	1.00	1.00	0.77	0.72	0.43	1.00	1.00	1.00	0.93	1.00	0.78	0.75	0.33	1.00	0.89	0.88	0.63
213.00	1.00	1.00	1.00	0.87	0.61	0.67	1.00	1.00	1.00	1.00	1.00	0.67	0.33	1.00	1.00	1.00	0.93	0.81	0.67	1.00	0.78	0.83	0.40	1.00	0.78	0.75	0.33	1.00	0.78	0.79	0.37
216.00	1.00	1.00	1.00	1.00	1.00	0.43	1.00	1.00	1.00	0.93	0.61	0.48	0.42	1.00	1.00	1.00	0.97	0.81	0.45	0.50	0.56	0.25	0.13	1.00	1.00	0.58	0.07	0.75	0.78	0.42	0.10
572.00	1.00	1.00	1.00	0.93	0.61	0.43	1.00	1.00	1.00	1.00	0.72	0.57	0.50	1.00	1.00	1.00	0.97	0.67	0.50	1.00	0.89	0.83	0.67	0.83	0.89	0.75	0.73	0.92	0.89	0.79	0.70
573.00	1.00	0.78	1.00	0.53	0.83	0.29	1.00	0.89	1.00	1.00	0.44	0.24	0.29	1.00	0.83	1.00	0.77	0.64	0.26	0.83	0.78	0.67	0.20	1.00	0.78	0.67	0.20	0.92	0.78	0.67	0.20
575.00	1.00	1.00	1.00	0.87	0.89	0.24	1.00	1.00	1.00	0.87	1.00	0.71	0.71	1.00	1.00	1.00	0.87	0.94	0.48	0.83	0.33	0.92	0.33	1.00	1.00	0.92	0.73	0.92	0.67	0.92	0.53
576.00	1.00	1.00	1.00	0.93	0.67	0.67	1.00	1.00	1.00	1.00	0.94	0.57	0.71	1.00	1.00	1.00	0.97	0.81	0.62	1.00	0.67	1.00	0.27	0.67	1.00	0.75	0.13	0.83	0.83	0.88	0.20
580.00	1.00	1.00	1.00	1.00	1.00	0.67	1.00	1.00	1.00	1.00	0.94	0.76	0.79	1.00	1.00	1.00	1.00	0.97	0.71	1.00	1.00	0.50	0.47	1.00	0.89	0.58	0.33	1.00	0.94	0.54	0.40
581.00	0.83	1.00	1.00	1.00	1.00	0.76	1.00	1.00	1.00	1.00	0.72	0.90	0.25	0.92	1.00	1.00	1.00	0.86	0.83	1.00	0.78	0.83	0.60	1.00	1.00	0.92	0.53	1.00	0.89	0.88	0.57
582.00	1.00	1.00	1.00	1.00	0.44	0.52	1.00	1.00	1.00	0.87	0.72	0.62	0.33	1.00	1.00	1.00	0.93	0.58	0.57	1.00	1.00	0.50	0.33	1.00	0.78	0.58	0.47	1.00	0.89	0.54	0.40
589.00	1.00	1.00	1.00	1.00	1.00	0.62	1.00	1.00	1.00	1.00	1.00	1.00	0.79	1.00	1.00	1.00	1.00	1.00	0.81	1.00	0.78	0.50	0.40	1.00	1.00	0.75	0.67	1.00	0.89	0.63	0.53
591.00	1.00	1.00	1.00	0.60	0.28	0.33	1.00	1.00	1.00	0.73	0.61	0.38	0.29	1.00	1.00	1.00	0.67	0.44	0.36	1.00	1.00	0.83	0.60	1.00	0.89	0.42	0.27	1.00	0.94	0.63	0.43
592.00	1.00	1.00	1.00	0.53	0.72	0.24	1.00	1.00	0.92	1.00	1.00	0.62	0.75	1.00	1.00	0.96	0.77	0.86	0.43	0.83	0.56	0.50	0.33	1.00	0.56	0.50	0.27	0.92	0.56	0.50	0.30
595.00	1.00	1.00	0.50	0.80	0.39	0.33	1.00	1.00	0.83	1.00	1.00	0.43	0.75	1.00	1.00	0.67	0.90	0.69	0.38	1.00	1.00	0.42	0.60	1.00	1.00	0.33	0.67	1.00	1.00	0.38	0.63
596.00	1.00	1.00	0.75	0.47	0.72	0.24	1.00	1.00	0.75	1.00	0.83	0.38	0.17	1.00	1.00	0.75	0.73	0.78	0.31	0.67	0.67	0.50	0.67	1.00	1.00	0.67	0.67	0.83	0.83	0.58	0.67
598.00	1.00	1.00	1.00	0.80	0.39	0.52	1.00	1.00	1.00	0.87	0.72	0.52	0.38	1.00	1.00	1.00	0.83	0.56	0.52	0.83	0.56	0.42	0.20	0.83	0.56	0.42	0.20	0.83	0.56	0.42	0.20
600.00	1.00	1.00	1.00	0.73	0.44	0.33	1.00	1.00	0.83	0.40	0.50	0.76	0.13	1.00	1.00	0.92	0.57	0.47	0.55	1.00	1.00	0.50	0.53	1.00	1.00	0.67	0.80	1.00	1.00	0.58	0.67
603.00	1.00	1.00	0.83	0.60	0.28	0.19	1.00	1.00	0.83	0.67	0.44	0.19	0.17	1.00	1.00	0.83	0.63	0.36	0.19	1.00	0.44	0.33	0.00	1.00	0.44	0.58	0.00	1.00	0.44	0.46	0.00
606.00	1.00	1.00	1.00	0.73	0.56	0.38	1.00	1.00	1.00	0.73	0.83	0.71	0.33	1.00	1.00	1.00	0.73	0.69	0.55	0.83	0.78	0.33	0.13	1.00	0.78	0.42	0.07	0.92	0.78	0.38	0.10
607.00	1.00	1.00	1.00	0.73	0.22	0.33	1.00	1.00	1.00	0.87	0.83	0.33	0.21	1.00	1.00	1.00	0.80	0.53	0.33	1.00	0.78	0.58	0.53	1.00	0.56	0.42	0.27	1.00	0.67	0.50	0.40
609.00	0.83	1.00	1.00	1.00	0.61	0.48	1.00	1.00	1.00	1.00	0.56	0.90	0.58	0.92	1.00	1.00	1.00	0.58	0.69	0.83	1.00	0.92	0.60	1.00	1.00	0.92	0.53	0.92	1.00	0.92	0.57
610.00	1.00	1.00	1.00	0.60	0.39	0.10	1.00	1.00	0.83	0.87	0.39	0.52	0.17	1.00	1.00	0.92	0.73	0.39	0.31	0.00	0.56	0.00	0.00	0.67	0.44	0.00	0.00	0.33	0.50	0.00	0.00
612.00	1.00	1.00	1.00	0.93	0.94	0.62	1.00	1.00	1.00	1.00	0.83	0.52	0.42	1.00	1.00	1.00	0.97	0.89	0.57	1.00	1.00	1.00	0.60	0.83	0.78	0.58	0.87	0.92	0.89	0.79	0.73
613.00	1.00	1.00	0.92	0.73	0.61	0.52	1.00	1.00	0.92	0.93	0.50	0.57	0.33	1.00	1.00	0.92	0.83	0.56	0.55	1.00	1.00	0.67	0.27	0.83	0.67	0.75	0.20	0.92	0.83	0.71	0.23
102.00	1.00	1.00	1.00	0.87	0.72	0.62	1.00	1.00	1.00	1.00	0.78	0.81	0.75	1.00	1.00	1.00	0.93	0.75	0.71	1.00	1.00	0.75	0.60	1.00	1.00	0.92	0.93	1.00	1.00	0.83	0.77
103.00	1.00	1.00	1.00	0.73	0.78	0.38	1.00	1.00	0.58	0.87	0.67	0.67	0.58	1.00	1.00	0.79	0.80	0.72	0.52	1.00	0.78	0.50	0.53	1.00	1.00	0.42	0.47	1.00	0.89	0.46	0.50
108.00	1.00	1.00	1.00	0.33	0.28	0.48	1.00	1.00	1.00	1.00	0.67	0.43	0.38	1.00	1.00	1.00	0.67	0.47	0.45	0.83	0.67	0.25	0.40	0.83	0.44	0.58	0.13	0.83	0.56	0.42	0.27
110.00	1.00	1.00	1.00	0.73	0.44	0.24	1.00	1.00	0.92	0.87	0.78	0.57	0.38	1.00	1.00	0.96	0.80	0.61	0.40	0.83	0.67	0.33	0.20	1.00	0.67	0.33	0.00	0.92	0.67	0.33	0.10
117.00	1.00	1.00	1.00	1.00	0.72	0.67	1.00	1.00	1.00	1.00	0.78	0.95	0.63	1.00	1.00	1.00	1.00	0.75	0.81	1.00	1.00	1.00	0.73	1.00	0.89	0.75	1.00	1.00	0.94	0.88	0.87
118.00	1.00	1.00	1.00	0.87	0.72	0.62	1.00	1.00	0.83	0.87	0.78	0.38	0.42	1.00	1.00	0.92	0.87	0.75	0.50	1.00	1.00	0.50	0.53	1.00	0.67	0.75	0.47	1.00	0.83	0.63	0.50
120.00	1.00	1.00	0.75	0.93	0.33	0.38	1.00	1.00	0.92	1.00	0.61	0.14	0.42	1.00	1.00	0.83	0.97	0.47	0.26	1.00	0.67	0.33	0.33	1.00	0.78	0.50	0.27	1.00	0.72	0.42	0.30
122.00	1.00	1.00	1.00	1.00	1.00	0.76	1.00	1.00	1.00	1.00	1.00	0.90	0.67	1.00	1.00	1.00	1.00	1.00	0.83	1.00	1.00	1.00	1.00	1.00	1.00	0.92	0.53	1.00	1.00	0.96	0.77
123.00	1.00	1.00	0.83	0.47	0.56	0.33	1.00	1.00	0.83	0.80	0.67	0.33	0.13	1.00	1.00	0.83	0.63	0.61	0.33	0.83	1.00	0.58	0.60	1.00	1.00	0.75	0.00	0.92	1.00	0.67	0.30
125.00	1.00	1.00	0.92	0.53	0.33	0.24	1.00	1.00	1.00	1.00	1.00	0.52	0.67	1.00	1.00	0.96	0.77	0.67	0.38	1.00	0.78	0.50	0.07	1.00	0.78	0.42	0.07	1.00	0.78	0.46	0.07
126.00	1.00	1.00	0.92	1.00	0.78	0.67	1.00	1.00	0.92	1.00	0.89	0.52	0.58	1.00	1.00	0.92	1.00	0.83	0.60	0.83	0.67	0.75	0.53	1.00	0.89	0.83	0.40	0.92	0.78	0.79	0.47
127.00	0.83	1.00	1.00	0.87	0.67	0.52	1.00	1.00	1.00	1.00	0.83	0.71	0.21	0.92	1.00	1.00	0.93	0.75	0.62	1.00	1.00	0.58	0.67	1.00	0.89	0.50	0.47	1.00	0.94	0.54	0.57
130.00	1.00	1.00	0.92	0.93	0.78	0.71	1.00	1.00	1.00	1.00	1.00	0.76	1.00	1.00	1.00	0.96	0.97	0.89	0.74	1.00	0.89	0.75	0.67	1.00	1.00	0.83	0.40	1.00	0.94	0.79	0.53
131.00	1.00	1.00	0.92	0.87	0.83	0.43	1.00	1.00	0.83	1.00	0.89	0.62	0.25	1.00	1.00	0.88	0.93	0.86	0.52	1.00	0.67	0.92	0.60	0.83	0.89	0.33	0.40	0.92	0.78	0.63	0.50
134.00	1.00	1.00	1.00	0.80	0.56	0.33	1.00	1.00	1.00	1.00	0.83	0.43	0.42	1.00	1.00	1.00	0.90	0.69	0.38	1.00	1.00	0.50	0.40	1.00	0.78	0.92	0.73	1.00	0.89	0.71	0.57
135.00	1.00	1.00	1.00	0.73	0.89	0.29	1.00	1.00	1.00	1.00	0.78	0.67	0.38	1.00	1.00	1.00	0.87	0.83	0.48	0.83	0.78	0.75	0.20	1.00	0.89	0.67	0.40	0.92	0.83	0.71	0.30
136.00	1.00	1.00	1.00	0.80	0.56	0.33	1.00	1.00	0.92	0.73	0.89	0.57	0.38	1.00	1.00	0.96	0.77	0.72	0.45	0.83	0.89	0.50	0.53	0.83	1.00	0.42	0.53	0.83	0.94	0.46	0.53
137.00	1.00	0.89	0.83	0.53	0.22	0.29	1.00	1.00	0.83	0.87	0.72	0.05	0.25	1.00	0.94	0.83	0.70	0.47	0.17	0.67	0.67	0.42	0.40	1.00	1.00	0.25	0.27	0.83	0.83	0.33	0.33
140.00	1.00	1.00	0.67	0.80	0.50	0.24	1.00	1.00	0.83	0.73	0.50	0.38	0.25	1.00	1.00	0.75	0.77	0.50	0.31	1.00	0.89	0.75	0.47	1.00	0.89	0.92	0.33	1.00	0.89	0.83	0.40
142.00	1.00	1.00	1.00	0.73	0.72	0.81	1.00	1.00	1.00	0.87	0.94	0.86	0.71	1.00	1.00	1.00	0.80	0.83	0.83	0.83	1.00	0.67	0.80	1.00	1.00	0.58	0.60	0.92	1.00	0.63	0.70
144.00	1.00	1.00	1.00	0.60	0.50	0.38	1.00	1.00	1.00	1.00	0.78	0.52	0.58	1.00	1.00	1.00	0.80	0.64	0.45	1.00	0.89	0.58	0.40	1.00	0.89	0.92	0.53	1.00	0.89	0.75	0.47
145.00	1.00	1.00	0.92	0.73	0.56	0.19	1.00	1.00	1.00	0.67	0.67	0.10	0.54	1.00	1.00	0.96	0.70	0.61	0.14	1.00	0.78	1.00	0.47	0.83	1.00	0.92	0.73	0.92	0.89	0.96	0.60
146.00	1.00	1.00	1.00	0.87	0.67	0.43	1.00	1.00	1.00	1.00	1.00	0.76	0.63	1.00	1.00	1.00	0.93	0.83	0.60	0.83	0.67	0.50	0.47	1.00	0.67	0.67	0.27	0.92	0.67	0.58	0.37
147.00	1.00	1.00	1.00	0.80	1.00	0.71	1.00	1.00	1.00	1.00	1.00	0.90	0.58	1.00	1.00	1.00	0.90	1.00	0.81	1.00	0.89	0.75	0.67	1.00	1.00	0.75	0.73	1.00	0.94	0.75	0.70
149.00	1.00	1.00	0.83	1.00	0.61	0.86	1.00	1.00	1.00	0.87	0.83	0.76	0.46	1.00	1.00	0.92	0.93	0.72	0.81	0.83	0.78	0.83	0.93	1.00	1.00	0.67	0.40	0.92	0.89	0.75	0.67
151.00	1.00	1.00	1.00	0.47	0.44	0.33	1.00	1.00	1.00	0.80	0.83	0.24	0.29	1.00	1.00	1.00	0.63	0.64	0.29	1.00	0.78	0.92	0.33	0.83	0.89	0.50	0.33	0.92	0.83	0.71	0.33
152.00	1.00	1.00	1.00	0.73	0.33	0.33	1.00	1.00	0.83	0.87	0.56	0.38	0.38	1.00	1.00	0.92	0.80	0.44	0.36	0.67	0.44	0.42	0.47	1.00	0.78	0.25	0.33	0.83	0.61	0.33	0.40
153.00	1.00	1.00	1.00	1.00	0.89	0.86	1.00	1.00	0.83	0.87	1.00	0.86	0.50	1.00	1.00	0.92	0.93	0.94	0.86	1.00	1.00	0.92	0.80	1.00	0.89	0.50	0.60	1.00	0.94	0.71	0.70
154.00	1.00	1.00	1.00	1.00	0.89	0.52	1.00	1.00	1.00	1.00	0.89	0.81	0.75	1.00	1.00	1.00	1.00	0.89	0.67	1.00	1.00	0.67	0.80	1.00	1.00	0.92	0.60	1.00	1.00	0.79	0.70
155.00	1.00	1.00	0.83	0.60	0.67	0.67	1.00	1.00	1.00	1.00	0.67	0.57	0.58	1.00	1.00	0.92	0.80	0.67	0.62	1.00	1.00	1.00	0.93	1.00	0.78	0.92	0.67	1.00	0.89	0.96	0.80
156.00	1.00	1.00	1.00	0.93	0.89	0.86	1.00	1.00	0.83	1.00	0.89	0.76	0.50	1.00	1.00	0.92	0.97	0.89	0.81	1.00	1.00	0.92	0.80	1.00	1.00	0.83	0.67	1.00	1.00	0.88	0.73
157.00	1.00	1.00	1.00	0.80	0.67	0.29	1.00	1.00	1.00	1.00	0.44	0.62	0.42	1.00	1.00	1.00	0.90	0.56	0.45	1.00	0.78	0.67	0.40	1.00	0.89	0.50	0.80	1.00	0.83	0.58	0.60
158.00	1.00	1.00	1.00	0.27	0.56	0.33	1.00	1.00	0.83	1.00	0.67	0.52	0.46	1.00	1.00	0.92	0.63	0.61	0.43	1.00	1.00	0.58	0.60	0.83	0.56	0.33	0.20	0.92	0.78	0.46	0.40
159.00	1.00	1.00	1.00	1.00	0.78	0.86	1.00	1.00	1.00	0.93	1.00	0.71	0.33	1.00	1.00	1.00	0.97	0.89	0.79	1.00	1.00	0.67	0.67	1.00	1.00	0.92	0.60	1.00	1.00	0.79	0.63
160.00	1.00	1.00	0.92	1.00	0.83	0.48	1.00	1.00	1.00	1.00	0.89	0.76	0.67	1.00	1.00	0.96	1.00	0.86	0.62	0.83	1.00	0.67	0.33	1.00	1.00	0.50	0.47	0.92	1.00	0.58	0.40
161.00	1.00	1.00	1.00	0.73	1.00	1.00	1.00	1.00	1.00	1.00	1.00	0.57	0.83	1.00	1.00	1.00	0.87	1.00	0.79	1.00	0.78	1.00	0.73	1.00	1.00	1.00	0.93	1.00	0.89	1.00	0.83
162.00	1.00	1.00	0.67	0.60	0.72	0.29	1.00	1.00	1.00	1.00	0.78	0.76	0.46	1.00	1.00	0.83	0.80	0.75	0.52	0.83	0.44	0.42	0.33	1.00	0.78	0.33	0.27	0.92	0.61	0.38	0.30
164.00	1.00	1.00	0.83	0.60	0.61	0.19	1.00	1.00	0.83	0.93	0.61	0.67	0.50	1.00	1.00	0.83	0.77	0.61	0.43	1.00	0.89	0.92	0.73	1.00	0.89	0.75	0.67	1.00	0.89	0.83	0.70
165.00	1.00	1.00	1.00	1.00	0.78	0.71	1.00	1.00	1.00	1.00	0.89	1.00	0.58	1.00	1.00	1.00	1.00	0.83	0.86	1.00	1.00	1.00	0.87	1.00	1.00	0.83	0.73	1.00	1.00	0.92	0.80
166.00	1.00	1.00	1.00	1.00	0.89	0.67	1.00	1.00	1.00	1.00	0.72	0.81	0.79	1.00	1.00	1.00	1.00	0.81	0.74	1.00	0.89	0.92	0.73	1.00	1.00	0.67	0.53	1.00	0.94	0.79	0.63
167.00	1.00	1.00	0.75	0.93	1.00	0.33	1.00	1.00	1.00	1.00	0.89	0.81	0.58	1.00	1.00	0.88	0.97	0.94	0.57	0.67	0.78	0.58	0.73	1.00	0.89	0.92	0.60	0.83	0.83	0.75	0.67
168.00	0.83	1.00	1.00	0.87	0.61	0.71	1.00	1.00	0.83	1.00	1.00	0.71	0.54	0.92	1.00	0.92	0.93	0.81	0.71	1.00	1.00	0.83	0.73	0.67	1.00	0.33	0.33	0.83	1.00	0.58	0.53
170.00	1.00	1.00	0.83	0.80	0.61	0.67	1.00	1.00	0.92	0.73	0.61	0.57	0.42	1.00	1.00	0.88	0.77	0.61	0.62	1.00	0.89	1.00	0.60	1.00	1.00	1.00	0.73	1.00	0.94	1.00	0.67
172.00	1.00	1.00	1.00	0.87	0.83	0.86	1.00	1.00	0.83	1.00	0.72	0.81	0.63	1.00	1.00	0.92	0.93	0.78	0.83	1.00	0.78	0.75	0.67	1.00	0.89	0.83	0.40	1.00	0.83	0.79	0.53
176.00	1.00	0.89	0.50	0.20	0.17	0.14	1.00	1.00	0.67	0.67	0.33	0.10	0.13	1.00	0.94	0.58	0.43	0.25	0.12	0.67	0.56	0.42	0.13	0.67	0.33	0.25	0.07	0.67	0.44	0.33	0.10
179.00	1.00	1.00	1.00	1.00	0.83	0.76	1.00	1.00	1.00	1.00	1.00	1.00	0.67	1.00	1.00	1.00	1.00	0.92	0.88	1.00	1.00	0.83	0.67	1.00	0.67	0.50	0.07	1.00	0.83	0.67	0.37
184.00	1.00	1.00	0.83	0.67	0.33	0.14	1.00	1.00	1.00	0.73	0.44	0.14	0.08	1.00	1.00	0.92	0.70	0.39	0.14	0.33	0.44	0.42	0.40	1.00	0.67	0.42	0.20	0.67	0.56	0.42	0.30
188.00	1.00	1.00	0.92	0.67	0.28	0.24	1.00	1.00	1.00	0.87	0.28	0.10	0.21	1.00	1.00	0.96	0.77	0.28	0.17	0.83	0.89	0.42	0.20	0.83	0.56	0.17	0.00	0.83	0.72	0.29	0.10
190.00	0.67	1.00	0.92	0.80	0.39	0.67	1.00	0.78	1.00	1.00	0.78	0.71	0.25	0.83	0.89	0.96	0.90	0.58	0.69	1.00	0.78	0.42	0.00	1.00	0.89	0.58	0.33	1.00	0.83	0.50	0.17
191.00	1.00	1.00	0.92	0.87	0.78	0.38	1.00	1.00	1.00	1.00	0.94	0.81	0.79	1.00	1.00	0.96	0.93	0.86	0.60	1.00	0.89	0.83	0.73	0.83	0.78	0.83	0.80	0.92	0.83	0.83	0.77
193.00	1.00	1.00	1.00	0.93	0.78	0.81	1.00	1.00	1.00	1.00	1.00	1.00	0.54	1.00	1.00	1.00	0.97	0.89	0.90	1.00	1.00	0.75	0.80	1.00	1.00	0.92	0.60	1.00	1.00	0.83	0.70
194.00	1.00	0.89	0.92	0.60	0.50	0.43	1.00	1.00	0.50	0.60	0.83	0.52	0.33	1.00	0.94	0.71	0.60	0.67	0.48	1.00	0.44	0.83	0.80	1.00	1.00	0.58	0.40	1.00	0.72	0.71	0.60
196.00	1.00	1.00	0.92	0.40	0.61	0.14	1.00	1.00	1.00	0.80	0.61	0.24	0.50	1.00	1.00	0.96	0.60	0.61	0.19	0.83	0.56	0.50	0.40	1.00	0.56	0.58	0.07	0.92	0.56	0.54	0.23
