"id" "trial" "condition" "serpos" "item" "response"
1 2 "FiveOne" 2 "reason" "Omission"
1 2 "FiveOne" 3 "portion" "Omission"
1 2 "FiveOne" 4 "budget" "Omission"
1 2 "FiveOne" 5 "trouble" "Omission"
1 2 "FiveOne" 6 "content" "content"
1 3 "FiveOne" 1 "attempt" "Omission"
1 3 "FiveOne" 2 "concept" "Omission"
1 3 "FiveOne" 3 "advice" "Omission"
1 3 "FiveOne" 4 "freedom" "freedom"
1 3 "FiveOne" 5 "method" "Omission"
1 3 "FiveOne" 6 "extreme" "extreme"
1 4 "FiveOne" 1 "answer" "answer"
1 4 "FiveOne" 2 "reading" "reading"
1 4 "FiveOne" 3 "private" "Omission"
1 4 "FiveOne" 4 "series" "Omission"
1 4 "FiveOne" 5 "review" "Omission"
1 4 "FiveOne" 6 "moment" "moment"
1 5 "FiveOne" 1 "session" "session"
1 5 "FiveOne" 2 "control" "Omission"
1 5 "FiveOne" 3 "surface" "Omission"
1 5 "FiveOne" 4 "command" "Omission"
1 5 "FiveOne" 5 "spirit" "Omission"
1 5 "FiveOne" 6 "fifteen" "fifteen"
1 6 "FiveOne" 1 "subject" "Omission"
1 6 "FiveOne" 2 "appear" "Omission"
1 6 "FiveOne" 3 "device" "Omission"
1 6 "FiveOne" 4 "factor" "Omission"
1 6 "FiveOne" 5 "account" "Omission"
1 6 "FiveOne" 6 "supply" "supply"
1 7 "FiveOne" 1 "feeling" "feeling"
1 7 "FiveOne" 2 "produce" "produce"
1 7 "FiveOne" 3 "purpose" "Omission"
1 7 "FiveOne" 4 "council" "Omission"
1 7 "FiveOne" 5 "latter" "Omission"
1 7 "FiveOne" 6 "became" "became"
1 8 "FiveOne" 1 "normal" "Omission"
1 8 "FiveOne" 2 "wonder" "Omission"
1 8 "FiveOne" 3 "respect" "Omission"
1 8 "FiveOne" 4 "measure" "Omission"
1 8 "FiveOne" 5 "permit" "Omission"
1 8 "FiveOne" 6 "contact" "contact"
1 9 "FiveOne" 1 "effort" "effort"
1 9 "FiveOne" 2 "junior" "Omission"
1 9 "FiveOne" 3 "culture" "Omission"
1 9 "FiveOne" 4 "justice" "control"
1 9 "FiveOne" 5 "vision" "Omission"
1 9 "FiveOne" 6 "balance" "balance"
1 10 "FiveOne" 1 "belief" "belief"
1 10 "FiveOne" 2 "crisis" "crisis"
1 10 "FiveOne" 3 "future" "future"
1 10 "FiveOne" 4 "amount" "Omission"
1 10 "FiveOne" 5 "listen" "Omission"
1 10 "FiveOne" 6 "welfare" "welfare"
1 1 "FourTwo" 1 "effort" "produce"
1 1 "FourTwo" 2 "produce" "Omission"
1 1 "FourTwo" 3 "wonder" "Omission"
1 1 "FourTwo" 4 "content" "Omission"
1 1 "FourTwo" 5 "became" "became"
1 1 "FourTwo" 6 "belief" "belief"
1 2 "FourTwo" 1 "effect" "effect"
1 2 "FourTwo" 2 "career" "career"
1 2 "FourTwo" 3 "success" "Omission"
1 2 "FourTwo" 4 "portion" "Omission"
1 2 "FourTwo" 5 "moment" "moment"
1 2 "FourTwo" 6 "welfare" "welfare"
1 3 "FourTwo" 1 "command" "command"
1 3 "FourTwo" 2 "latter" "Omission"
1 3 "FourTwo" 3 "normal" "Omission"
1 3 "FourTwo" 4 "justice" "Omission"
1 3 "FourTwo" 5 "culture" "career"
1 3 "FourTwo" 6 "attempt" "attempt"
1 4 "FourTwo" 1 "budget" "subject"
1 4 "FourTwo" 2 "subject" "Omission"
1 4 "FourTwo" 3 "extent" "Omission"
1 4 "FourTwo" 4 "council" "Omission"
1 4 "FourTwo" 5 "spirit" "Omission"
1 4 "FourTwo" 6 "closer" "closer"
1 5 "FourTwo" 1 "listen" "listen"
1 5 "FourTwo" 2 "method" "supply"
1 5 "FourTwo" 3 "supply" "Omission"
1 5 "FourTwo" 4 "device" "Omission"
1 5 "FourTwo" 5 "session" "private"
1 5 "FourTwo" 6 "private" "session"
1 6 "FourTwo" 1 "respect" "freedom"
1 6 "FourTwo" 2 "concept" "crisis"
1 6 "FourTwo" 3 "crisis" "Omission"
1 6 "FourTwo" 4 "freedom" "Omission"
1 6 "FourTwo" 5 "permit" "Omission"
1 6 "FourTwo" 6 "advice" "Omission"
1 7 "FourTwo" 1 "manner" "manner"
1 7 "FourTwo" 2 "account" "account"
1 7 "FourTwo" 3 "future" "Omission"
1 7 "FourTwo" 4 "balance" "Omission"
1 7 "FourTwo" 5 "trouble" "trouble"
1 7 "FourTwo" 6 "answer" "answer"
1 8 "FourTwo" 1 "series" "reason"
1 8 "FourTwo" 2 "reason" "reading"
1 8 "FourTwo" 3 "review" "Omission"
1 8 "FourTwo" 4 "contact" "Omission"
1 8 "FourTwo" 5 "measure" "measure"
1 8 "FourTwo" 6 "reading" "Omission"
1 9 "FourTwo" 1 "member" "measure"
1 9 "FourTwo" 2 "control" "appear"
1 9 "FourTwo" 3 "appear" "Omission"
1 9 "FourTwo" 4 "purpose" "Omission"
1 9 "FourTwo" 5 "factor" "factor"
1 9 "FourTwo" 6 "amount" "account"
1 10 "FourTwo" 1 "surface" "surface"
1 10 "FourTwo" 2 "junior" "Omission"
1 10 "FourTwo" 3 "extreme" "Omission"
1 10 "FourTwo" 4 "fifteen" "junior"
1 10 "FourTwo" 5 "vision" "vision"
1 10 "FourTwo" 6 "feeling" "feeling"
1 1 "Three" 1 "career" "career"
1 1 "Three" 2 "subject" "subject"
1 1 "Three" 3 "device" "device"
1 1 "Three" 4 "future" "Omission"
1 1 "Three" 5 "listen" "private"
1 1 "Three" 6 "private" "income"
1 2 "Three" 1 "feeling" "Omission"
1 2 "Three" 2 "spirit" "feeling"
1 2 "Three" 3 "vision" "Omission"
1 2 "Three" 4 "extent" "extent"
1 2 "Three" 5 "justice" "justice"
1 2 "Three" 6 "latter" "latter"
1 3 "Three" 1 "fifteen" "fifteen"
1 3 "Three" 2 "permit" "permit"
1 3 "Three" 3 "closer" "closer"
1 3 "Three" 4 "method" "Omission"
1 3 "Three" 5 "culture" "method"
1 3 "Three" 6 "surface" "Omission"
1 4 "Three" 1 "purpose" "Omission"
1 4 "Three" 2 "crisis" "Omission"
1 4 "Three" 3 "effort" "Omission"
1 4 "Three" 4 "supply" "supply"
1 4 "Three" 5 "respect" "respect"
1 4 "Three" 6 "reason" "reason"
1 5 "Three" 1 "wonder" "wonder"
1 5 "Three" 2 "control" "Omission"
1 5 "Three" 3 "member" "Omission"
1 5 "Three" 4 "factor" "factor"
1 5 "Three" 5 "session" "session"
1 5 "Three" 6 "attempt" "attempt"
1 6 "Three" 1 "balance" "balance"
1 6 "Three" 2 "council" "council"
1 6 "Three" 3 "portion" "portion"
1 6 "Three" 4 "reading" "trouble"
1 6 "Three" 5 "trouble" "reading"
1 6 "Three" 6 "became" "council"
1 7 "Three" 1 "produce" "effect"
1 7 "Three" 2 "appear" "Omission"
1 7 "Three" 3 "effect" "Omission"
1 7 "Three" 4 "moment" "Omission"
1 7 "Three" 5 "normal" "extreme"
1 7 "Three" 6 "extreme" "moment"
1 8 "Three" 1 "command" "demand"
1 8 "Three" 2 "success" "Omission"
1 8 "Three" 3 "manner" "order"
1 8 "Three" 4 "answer" "answer"
1 8 "Three" 5 "belief" "belief"
1 8 "Three" 6 "advice" "advice"
1 9 "Three" 1 "account" "Omission"
1 9 "Three" 2 "freedom" "Omission"
1 9 "Three" 3 "review" "Omission"
1 9 "Three" 4 "junior" "junior"
1 9 "Three" 5 "budget" "budget"
1 9 "Three" 6 "contact" "contact"
1 10 "Three" 1 "amount" "Omission"
1 10 "Three" 2 "content" "Omission"
1 10 "Three" 3 "concept" "Omission"
1 10 "Three" 4 "series" "series"
1 10 "Three" 5 "measure" "measure"
1 10 "Three" 6 "welfare" "welfare"
1 1 "TwoFour" 1 "closer" "Omission"
1 1 "TwoFour" 2 "factor" "Omission"
1 1 "TwoFour" 3 "purpose" "purpose"
1 1 "TwoFour" 4 "career" "career"
1 1 "TwoFour" 5 "appear" "appear"
1 1 "TwoFour" 6 "trouble" "trouble"
1 2 "TwoFour" 1 "contact" "Omission"
1 2 "TwoFour" 2 "balance" "Omission"
1 2 "TwoFour" 3 "moment" "moment"
1 2 "TwoFour" 4 "spirit" "spirit"
1 2 "TwoFour" 5 "review" "review"
1 2 "TwoFour" 6 "attempt" "attempt"
1 3 "TwoFour" 1 "private" "private"
1 3 "TwoFour" 2 "became" "became"
1 3 "TwoFour" 3 "control" "control"
1 3 "TwoFour" 4 "effort" "effort"
1 3 "TwoFour" 5 "amount" "amount"
1 3 "TwoFour" 6 "reason" "Omission"
1 4 "TwoFour" 1 "answer" "Omission"
1 4 "TwoFour" 2 "welfare" "Omission"
1 4 "TwoFour" 3 "extent" "extent"
1 4 "TwoFour" 4 "manner" "manner"
1 4 "TwoFour" 5 "extreme" "extreme"
1 4 "TwoFour" 6 "concept" "concept"
1 5 "TwoFour" 1 "success" "success"
1 5 "TwoFour" 2 "future" "future"
1 5 "TwoFour" 3 "permit" "Omission"
1 5 "TwoFour" 4 "council" "permit"
1 5 "TwoFour" 5 "effect" "Omission"
1 5 "TwoFour" 6 "command" "council"
1 6 "TwoFour" 1 "fifteen" "fifteen"
1 6 "TwoFour" 2 "surface" "surface"
1 6 "TwoFour" 3 "vision" "Omission"
1 6 "TwoFour" 4 "advice" "Omission"
1 6 "TwoFour" 5 "series" "Omission"
1 6 "TwoFour" 6 "device" "device"
1 7 "TwoFour" 1 "budget" "budget"
1 7 "TwoFour" 2 "reading" "reading"
1 7 "TwoFour" 3 "wonder" "freedom"
1 7 "TwoFour" 4 "freedom" "Omission"
1 7 "TwoFour" 5 "session" "Omission"
1 7 "TwoFour" 6 "account" "account"
1 8 "TwoFour" 1 "supply" "Omission"
1 8 "TwoFour" 2 "crisis" "Omission"
1 8 "TwoFour" 3 "produce" "produce"
1 8 "TwoFour" 4 "content" "content"
1 8 "TwoFour" 5 "listen" "listen"
1 8 "TwoFour" 6 "subject" "subject"
1 9 "TwoFour" 1 "method" "Omission"
1 9 "TwoFour" 2 "portion" "Omission"
1 9 "TwoFour" 3 "member" "member"
1 9 "TwoFour" 4 "culture" "culture"
1 9 "TwoFour" 5 "normal" "normal"
1 9 "TwoFour" 6 "junior" "junior"
1 10 "TwoFour" 1 "respect" "Omission"
1 10 "TwoFour" 2 "justice" "justice"
1 10 "TwoFour" 3 "feeling" "feeling"
1 10 "TwoFour" 4 "belief" "matter"
1 10 "TwoFour" 5 "latter" "Omission"
1 10 "TwoFour" 6 "measure" "Omission"
1 1 "OneFive" 1 "command" "command"
1 1 "OneFive" 2 "portion" "portion"
1 1 "OneFive" 3 "reading" "reading"
1 1 "OneFive" 4 "surface" "surface"
1 1 "OneFive" 5 "welfare" "manner"
1 1 "OneFive" 6 "manner" "Omission"
1 2 "OneFive" 1 "trouble" "trouble"
1 2 "OneFive" 2 "effect" "effect"
1 2 "OneFive" 3 "supply" "supply"
1 2 "OneFive" 4 "review" "review"
1 2 "OneFive" 5 "latter" "latter"
1 2 "OneFive" 6 "content" "review"
1 3 "OneFive" 1 "device" "trouble"
1 3 "OneFive" 2 "control" "demand"
1 3 "OneFive" 3 "concept" "control"
1 3 "OneFive" 4 "freedom" "Omission"
1 3 "OneFive" 5 "budget" "concept"
1 3 "OneFive" 6 "private" "private"
1 4 "OneFive" 1 "justice" "justice"
1 4 "OneFive" 2 "council" "council"
1 4 "OneFive" 3 "measure" "measure"
1 4 "OneFive" 4 "series" "series"
1 4 "OneFive" 5 "culture" "culture"
1 4 "OneFive" 6 "normal" "Omission"
1 5 "OneFive" 1 "feeling" "feeling"
1 5 "OneFive" 2 "permit" "permit"
1 5 "OneFive" 3 "crisis" "Omission"
1 5 "OneFive" 4 "amount" "crisis"
1 5 "OneFive" 5 "advice" "amount"
1 5 "OneFive" 6 "extreme" "extreme"
1 6 "OneFive" 1 "became" "became"
1 6 "OneFive" 2 "factor" "factor"
1 6 "OneFive" 3 "balance" "Omission"
1 6 "OneFive" 4 "vision" "balance"
1 6 "OneFive" 5 "fifteen" "vision"
1 6 "OneFive" 6 "wonder" "wonder"
1 7 "OneFive" 1 "success" "success"
1 7 "OneFive" 2 "produce" "produce"
1 7 "OneFive" 3 "attempt" "attempt"
1 7 "OneFive" 4 "subject" "Omission"
1 7 "OneFive" 5 "reason" "Omission"
1 7 "OneFive" 6 "junior" "junior"
1 8 "OneFive" 1 "spirit" "spirit"
1 8 "OneFive" 2 "purpose" "Omission"
1 8 "OneFive" 3 "session" "session"
1 8 "OneFive" 4 "answer" "moment"
1 8 "OneFive" 5 "moment" "listen"
1 8 "OneFive" 6 "listen" "Omission"
1 9 "OneFive" 1 "contact" "contact"
1 9 "OneFive" 2 "closer" "closer"
1 9 "OneFive" 3 "member" "member"
1 9 "OneFive" 4 "effort" "Omission"
1 9 "OneFive" 5 "respect" "Omission"
1 9 "OneFive" 6 "future" "Omission"
1 10 "OneFive" 1 "career" "career"
1 10 "OneFive" 2 "extent" "Omission"
1 10 "OneFive" 3 "account" "Omission"
1 10 "OneFive" 4 "appear" "extent"
1 10 "OneFive" 5 "method" "method"
1 10 "OneFive" 6 "belief" "belief"
1 1 "ZeroSix" 1 "extreme" "extreme"
1 1 "ZeroSix" 2 "moment" "moment"
1 1 "ZeroSix" 3 "trouble" "trouble"
1 1 "ZeroSix" 4 "future" "future"
1 1 "ZeroSix" 5 "wonder" "Omission"
1 1 "ZeroSix" 6 "produce" "produce"
1 2 "ZeroSix" 1 "account" "account"
1 2 "ZeroSix" 2 "belief" "belief"
1 2 "ZeroSix" 3 "crisis" "crisis"
1 2 "ZeroSix" 4 "session" "judgement"
1 2 "ZeroSix" 5 "reading" "Omission"
1 2 "ZeroSix" 6 "justice" "Omission"
1 3 "ZeroSix" 1 "supply" "account"
1 3 "ZeroSix" 2 "budget" "Omission"
1 3 "ZeroSix" 3 "answer" "Omission"
1 3 "ZeroSix" 4 "concept" "concept"
1 3 "ZeroSix" 5 "closer" "closer"
1 3 "ZeroSix" 6 "effect" "effect"
1 4 "ZeroSix" 1 "attempt" "attempt"
1 4 "ZeroSix" 2 "advice" "advice"
1 4 "ZeroSix" 3 "effort" "concept"
1 4 "ZeroSix" 4 "device" "device"
1 4 "ZeroSix" 5 "contact" "Omission"
1 4 "ZeroSix" 6 "welfare" "welfare"
1 5 "ZeroSix" 1 "reason" "reason"
1 5 "ZeroSix" 2 "purpose" "purpose"
1 5 "ZeroSix" 3 "success" "member"
1 5 "ZeroSix" 4 "member" "success"
1 5 "ZeroSix" 5 "portion" "Omission"
1 5 "ZeroSix" 6 "became" "became"
1 6 "ZeroSix" 1 "manner" "manner"
1 6 "ZeroSix" 2 "amount" "amount"
1 6 "ZeroSix" 3 "subject" "subject"
1 6 "ZeroSix" 4 "career" "career"
1 6 "ZeroSix" 5 "spirit" "Omission"
1 6 "ZeroSix" 6 "fifteen" "fifteen"
1 7 "ZeroSix" 1 "review" "review"
1 7 "ZeroSix" 2 "balance" "balance"
1 7 "ZeroSix" 3 "feeling" "Omission"
1 7 "ZeroSix" 4 "council" "feeling"
1 7 "ZeroSix" 5 "extent" "Omission"
1 7 "ZeroSix" 6 "control" "control"
1 8 "ZeroSix" 1 "listen" "listen"
1 8 "ZeroSix" 2 "junior" "normal"
1 8 "ZeroSix" 3 "normal" "junior"
1 8 "ZeroSix" 4 "permit" "Omission"
1 8 "ZeroSix" 5 "vision" "permit"
1 8 "ZeroSix" 6 "surface" "vision"
1 9 "ZeroSix" 1 "freedom" "freedom"
1 9 "ZeroSix" 2 "content" "Omission"
1 9 "ZeroSix" 3 "method" "Omission"
1 9 "ZeroSix" 4 "respect" "Omission"
1 9 "ZeroSix" 5 "measure" "measure"
1 9 "ZeroSix" 6 "series" "content"
1 10 "ZeroSix" 1 "appear" "appear"
1 10 "ZeroSix" 2 "factor" "factor"
1 10 "ZeroSix" 3 "private" "private"
1 10 "ZeroSix" 4 "command" "command"
1 10 "ZeroSix" 5 "latter" "latter"
1 10 "ZeroSix" 6 "culture" "Omission"
2 1 "FiveOne" 1 "manner" "Omission"
2 1 "FiveOne" 2 "extent" "Omission"
2 1 "FiveOne" 3 "success" "Omission"
2 1 "FiveOne" 4 "effect" "Omission"
2 1 "FiveOne" 5 "member" "Omission"
2 1 "FiveOne" 6 "closer" "closer"
2 2 "FiveOne" 1 "career" "career"
2 2 "FiveOne" 2 "reason" "reason"
2 2 "FiveOne" 3 "portion" "portion"
2 2 "FiveOne" 4 "budget" "trouble"
2 2 "FiveOne" 5 "trouble" "judgement"
2 2 "FiveOne" 6 "content" "content"
2 3 "FiveOne" 1 "attempt" "attempt"
2 3 "FiveOne" 2 "concept" "method"
2 3 "FiveOne" 3 "advice" "Omission"
2 3 "FiveOne" 4 "freedom" "Omission"
2 3 "FiveOne" 5 "method" "Omission"
2 3 "FiveOne" 6 "extreme" "income"
2 4 "FiveOne" 1 "answer" "answer"
2 4 "FiveOne" 2 "reading" "reading"
2 4 "FiveOne" 3 "private" "private"
2 4 "FiveOne" 4 "series" "Omission"
2 4 "FiveOne" 5 "review" "Omission"
2 4 "FiveOne" 6 "moment" "moment"
2 5 "FiveOne" 1 "session" "session"
2 5 "FiveOne" 2 "control" "control"
2 5 "FiveOne" 3 "surface" "spirit"
2 5 "FiveOne" 4 "command" "Omission"
2 5 "FiveOne" 5 "spirit" "Omission"
2 5 "FiveOne" 6 "fifteen" "fifteen"
2 6 "FiveOne" 1 "subject" "account"
2 6 "FiveOne" 2 "appear" "subject"
2 6 "FiveOne" 3 "device" "Omission"
2 6 "FiveOne" 4 "factor" "Omission"
2 6 "FiveOne" 5 "account" "Omission"
2 6 "FiveOne" 6 "supply" "Omission"
2 7 "FiveOne" 1 "feeling" "feeling"
2 7 "FiveOne" 2 "produce" "amount"
2 7 "FiveOne" 3 "purpose" "Omission"
2 7 "FiveOne" 4 "council" "Omission"
2 7 "FiveOne" 5 "latter" "latter"
2 7 "FiveOne" 6 "became" "Omission"
2 8 "FiveOne" 1 "measure" "measure"
2 8 "FiveOne" 2 "wonder" "wonder"
2 8 "FiveOne" 3 "respect" "respect"
2 8 "FiveOne" 4 "normal" "permit"
2 8 "FiveOne" 5 "permit" "Omission"
2 8 "FiveOne" 6 "contact" "Omission"
2 9 "FiveOne" 1 "effort" "effort"
2 9 "FiveOne" 2 "junior" "junior"
2 9 "FiveOne" 3 "culture" "culture"
2 9 "FiveOne" 4 "justice" "Omission"
2 9 "FiveOne" 5 "vision" "Omission"
2 9 "FiveOne" 6 "balance" "balance"
2 10 "FiveOne" 1 "belief" "belief"
2 10 "FiveOne" 2 "crisis" "crisis"
2 10 "FiveOne" 3 "future" "amount"
2 10 "FiveOne" 4 "amount" "Omission"
2 10 "FiveOne" 5 "listen" "Omission"
2 10 "FiveOne" 6 "welfare" "welfare"
2 1 "FourTwo" 1 "effort" "effort"
2 1 "FourTwo" 2 "produce" "produce"
2 1 "FourTwo" 3 "wonder" "wonder"
2 1 "FourTwo" 4 "content" "content"
2 1 "FourTwo" 5 "became" "became"
2 1 "FourTwo" 6 "belief" "product"
2 2 "FourTwo" 1 "effect" "effect"
2 2 "FourTwo" 2 "career" "career"
2 2 "FourTwo" 3 "success" "portion"
2 2 "FourTwo" 4 "portion" "Omission"
2 2 "FourTwo" 5 "moment" "Omission"
2 2 "FourTwo" 6 "welfare" "welfare"
2 3 "FourTwo" 1 "command" "command"
2 3 "FourTwo" 2 "latter" "latter"
2 3 "FourTwo" 3 "normal" "normal"
2 3 "FourTwo" 4 "justice" "justice"
2 3 "FourTwo" 5 "culture" "Omission"
2 3 "FourTwo" 6 "attempt" "attempt"
2 4 "FourTwo" 1 "budget" "budget"
2 4 "FourTwo" 2 "subject" "Omission"
2 4 "FourTwo" 3 "extent" "Omission"
2 4 "FourTwo" 4 "council" "Omission"
2 4 "FourTwo" 5 "spirit" "Omission"
2 4 "FourTwo" 6 "closer" "closer"
2 5 "FourTwo" 1 "method" "method"
2 5 "FourTwo" 2 "supply" "supply"
2 5 "FourTwo" 3 "listen" "listen"
2 5 "FourTwo" 4 "device" "Omission"
2 5 "FourTwo" 5 "private" "private"
2 5 "FourTwo" 6 "session" "session"
2 6 "FourTwo" 1 "respect" "respect"
2 6 "FourTwo" 2 "concept" "concept"
2 6 "FourTwo" 3 "crisis" "crisis"
2 6 "FourTwo" 4 "freedom" "freedom"
2 6 "FourTwo" 5 "permit" "permit"
2 6 "FourTwo" 6 "advice" "Omission"
2 7 "FourTwo" 1 "manner" "manner"
2 7 "FourTwo" 2 "account" "account"
2 7 "FourTwo" 3 "future" "future"
2 7 "FourTwo" 4 "balance" "freedom"
2 7 "FourTwo" 5 "trouble" "control"
2 7 "FourTwo" 6 "answer" "trouble"
2 8 "FourTwo" 1 "measure" "measure"
2 8 "FourTwo" 2 "series" "series"
2 8 "FourTwo" 3 "reason" "reading"
2 8 "FourTwo" 4 "review" "review"
2 8 "FourTwo" 5 "contact" "Omission"
2 8 "FourTwo" 6 "reading" "Omission"
2 9 "FourTwo" 1 "member" "member"
2 9 "FourTwo" 2 "control" "control"
2 9 "FourTwo" 3 "appear" "Omission"
2 9 "FourTwo" 4 "purpose" "purpose"
2 9 "FourTwo" 5 "factor" "measure"
2 9 "FourTwo" 6 "amount" "account"
2 10 "FourTwo" 1 "surface" "surface"
2 10 "FourTwo" 2 "junior" "junior"
2 10 "FourTwo" 3 "extreme" "extreme"
2 10 "FourTwo" 4 "fifteen" "fifteen"
2 10 "FourTwo" 5 "vision" "vision"
2 10 "FourTwo" 6 "feeling" "feeling"
2 1 "Three" 1 "career" "career"
2 1 "Three" 2 "subject" "subject"
2 1 "Three" 3 "device" "device"
2 1 "Three" 4 "future" "future"
2 1 "Three" 5 "listen" "private"
2 1 "Three" 6 "private" "listen"
2 2 "Three" 1 "feeling" "feeling"
2 2 "Three" 2 "spirit" "spirit"
2 2 "Three" 3 "vision" "Omission"
2 2 "Three" 4 "extent" "Omission"
2 2 "Three" 5 "justice" "latter"
2 2 "Three" 6 "latter" "extent"
2 3 "Three" 1 "fifteen" "fifteen"
2 3 "Three" 2 "permit" "permit"
2 3 "Three" 3 "closer" "closer"
2 3 "Three" 4 "method" "measure"
2 3 "Three" 5 "culture" "surface"
2 3 "Three" 6 "surface" "Omission"
2 4 "Three" 1 "purpose" "purpose"
2 4 "Three" 2 "crisis" "crisis"
2 4 "Three" 3 "effort" "effort"
2 4 "Three" 4 "supply" "supply"
2 4 "Three" 5 "respect" "reason"
2 4 "Three" 6 "reason" "Omission"
2 5 "Three" 1 "wonder" "wonder"
2 5 "Three" 2 "control" "control"
2 5 "Three" 3 "member" "member"
2 5 "Three" 4 "factor" "factor"
2 5 "Three" 5 "session" "attempt"
2 5 "Three" 6 "attempt" "session"
2 6 "Three" 1 "balance" "balance"
2 6 "Three" 2 "council" "council"
2 6 "Three" 3 "portion" "portion"
2 6 "Three" 4 "reading" "reading"
2 6 "Three" 5 "trouble" "became"
2 6 "Three" 6 "became" "Omission"
2 7 "Three" 1 "produce" "produce"
2 7 "Three" 2 "appear" "appear"
2 7 "Three" 3 "effect" "effect"
2 7 "Three" 4 "moment" "moment"
2 7 "Three" 5 "normal" "portion"
2 7 "Three" 6 "extreme" "extreme"
2 8 "Three" 1 "command" "command"
2 8 "Three" 2 "success" "success"
2 8 "Three" 3 "manner" "manner"
2 8 "Three" 4 "answer" "answer"
2 8 "Three" 5 "belief" "belief"
2 8 "Three" 6 "advice" "advice"
2 9 "Three" 1 "account" "account"
2 9 "Three" 2 "freedom" "freedom"
2 9 "Three" 3 "review" "review"
2 9 "Three" 4 "junior" "junior"
2 9 "Three" 5 "budget" "budget"
2 9 "Three" 6 "contact" "Omission"
2 10 "Three" 1 "amount" "amount"
2 10 "Three" 2 "content" "content"
2 10 "Three" 3 "concept" "concept"
2 10 "Three" 4 "series" "series"
2 10 "Three" 5 "measure" "measure"
2 10 "Three" 6 "welfare" "welfare"
2 1 "TwoFour" 1 "closer" "closer"
2 1 "TwoFour" 2 "factor" "factor"
2 1 "TwoFour" 3 "purpose" "purpose"
2 1 "TwoFour" 4 "career" "career"
2 1 "TwoFour" 5 "appear" "appear"
2 1 "TwoFour" 6 "trouble" "trouble"
2 2 "TwoFour" 1 "contact" "contact"
2 2 "TwoFour" 2 "balance" "balance"
2 2 "TwoFour" 3 "moment" "moment"
2 2 "TwoFour" 4 "spirit" "spirit"
2 2 "TwoFour" 5 "review" "review"
2 2 "TwoFour" 6 "attempt" "attempt"
2 3 "TwoFour" 1 "private" "private"
2 3 "TwoFour" 2 "became" "became"
2 3 "TwoFour" 3 "control" "control"
2 3 "TwoFour" 4 "effort" "effort"
2 3 "TwoFour" 5 "amount" "amount"
