"Individual Responses by participant for each trial, list length & serial position",,,,,,,,,,,,,,,,,,Collapsed over serial position,,,,,,,,,Trial Data,,,,,,,,,,,,,,,,,,
,,,LL2,,LL3,,,LL4,,,,LL5,,,,,,Number Correct,,,,Proportion Correct,,,,,Trials Correct,,,,,,,,,,,,,,,,,,
P12,BSEP,T3,1,1,1,1,1,0,0,0,0,1,1,1,0,1,,2.00,3.00,0.00,4.00,1.00,1.00,0.00,0.80,,1,1,0,0,,,,,,,,,,,,,,,
P13,BSE,T1,1,1,1,1,1,1,1,0,1,-,-,-,-,-,,2.00,3.00,3.00,-,1.00,1.00,0.75,-,,1,1,0,0,,,,,,,,,,,,,,,
P13,BSE,T2,1,1,1,1,1,0,0,0,1,-,-,-,-,-,,2.00,3.00,1.00,-,1.00,1.00,0.25,-,,1,1,0,0,,,,,,,,,,,,,,,
P13,BSE,T3,1,1,0,0,1,0,0,0,1,-,-,-,-,-,,2.00,1.00,1.00,-,1.00,0.33,0.25,-,,1,0,0,0,,,,,,,,,,,,,,,
P13,BSEP,T1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,,2.00,3.00,4.00,2.00,1.00,1.00,1.00,0.40,,1,1,1,0,,,,,,,,,,,,,,,
P13,BSEP,T2,1,1,1,1,1,1,1,1,1,0,0,0,0,0,,2.00,3.00,4.00,0.00,1.00,1.00,1.00,0.00,,1,1,1,0,,,,,,,,,,,,,,,
P13,BSEP,T3,1,1,1,1,1,1,1,1,1,0,0,0,0,0,,2.00,3.00,4.00,0.00,1.00,1.00,1.00,0.00,,1,1,1,0,,,,,,,,,,,,,,,
P14,BSE,T1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,,2.00,3.00,4.00,2.00,1.00,1.00,1.00,0.40,,1,1,1,0,,,,,,,,,,,,,,,
P14,BSE,T2,1,1,1,1,1,0,0,0,1,0,0,0,0,1,,2.00,3.00,1.00,1.00,1.00,1.00,0.25,0.20,,1,1,0,0,,,,,,,,,,,,,,,
P14,BSE,T3,1,1,0,1,1,0,0,1,1,0,1,0,0,1,,2.00,2.00,2.00,2.00,1.00,0.67,0.50,0.40,,1,0,0,0,,,,,,,,,,,,,,,
P14,BSEP,T1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,,2.00,3.00,4.00,2.00,1.00,1.00,1.00,0.40,,1,1,1,0,,,,,,,,,,,,,,,
P14,BSEP,T2,1,1,1,1,1,1,0,1,1,1,0,1,0,0,,2.00,3.00,3.00,2.00,1.00,1.00,0.75,0.40,,1,1,0,0,,,,,,,,,,,,,,,
P14,BSEP,T3,1,1,1,1,1,0,0,0,1,1,1,0,0,1,,2.00,3.00,1.00,3.00,1.00,1.00,0.25,0.60,,1,1,0,0,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Collapsed over trial,,,LL2,,LL3,,,LL4,,,,LL5,,,,,,Number Correct,,,,Proportion Correct,,,,,Trials Correct,,,,Span Measures,,,Trials Correct (Audit),,,,Span Measures,,AUDIT CHECK,,,,,
Participant,Condition,Trial,SP1,SP2,SP1,SP2,SP3,SP1,SP2,SP3,SP4,SP1,SP2,SP3,SP4,SP5,,LL2,LL3,LL4,LL5,LL2,LL3,LL4,LL5,,LL2,LL3,LL4,LL5,Maximum List Length,∑(List Length x No. Correct),,LL2,LL3,LL4,LL5,Maximum List Length,∑(List Length x No. Correct),,,,,,
P1,BSE,-,3,3,2,3,3,2,2,2,3,1,2,0,0,0,,6.00,8.00,9.00,3.00,3.00,2.67,2.25,0.60,,3.00,2.00,2.00,0.00,4,20,,3,2,2,0,4,20,OK,OK,OK,OK,OK,OK
P2,BSE,-,3,3,3,3,3,3,3,3,3,3,2,2,1,2,,6.00,9.00,12.00,10.00,3.00,3.00,3.00,2.00,,3.00,3.00,3.00,1.00,5,32,,3,3,3,1,5,32,OK,OK,OK,OK,OK,OK
P3,BSE,-,3,3,2,3,3,3,2,1,3,3,2,1,1,2,,6.00,8.00,9.00,9.00,3.00,2.67,2.25,1.80,,3.00,2.00,1.00,0.00,4,16,,3,2,1,0,4,16,OK,OK,OK,OK,OK,OK
P4,BSE,-,3,3,3,3,3,2,3,2,2,0,0,0,0,0,,6.00,9.00,9.00,0.00,3.00,3.00,2.25,0.00,,3.00,3.00,1.00,0.00,4,19,,3,3,1,0,4,19,OK,OK,OK,OK,OK,OK
P5,BSE,-,3,3,2,2,3,3,3,0,1,0,0,0,0,0,,6.00,7.00,7.00,0.00,3.00,2.33,1.75,0.00,,3.00,2.00,0.00,0.00,3,12,,3,2,0,0,3,12,OK,OK,OK,OK,OK,OK
P6,BSE,-,2,3,2,2,3,2,2,0,1,0,0,0,0,0,,5.00,7.00,5.00,0.00,2.50,2.33,1.25,0.00,,2.00,2.00,0.00,0.00,3,10,,2,2,0,0,3,10,OK,OK,OK,OK,OK,OK
P7,BSE,-,3,3,3,3,3,3,2,2,2,1,1,2,1,3,,6.00,9.00,9.00,8.00,3.00,3.00,2.25,1.60,,3.00,3.00,2.00,0.00,4,23,,3,3,2,0,4,23,OK,OK,OK,OK,OK,OK
P8,BSE,-,3,3,2,3,2,3,2,1,3,0,0,0,0,0,,6.00,7.00,9.00,0.00,3.00,2.33,2.25,0.00,,3.00,2.00,0.00,0.00,3,12,,3,2,0,0,3,12,OK,OK,OK,OK,OK,OK
P9,BSE,-,3,3,1,2,3,2,2,2,3,3,2,1,1,3,,6.00,6.00,9.00,10.00,3.00,2.00,2.25,2.00,,3.00,1.00,2.00,0.00,4,17,,3,1,2,0,4,17,OK,OK,OK,OK,OK,OK
P10,BSE,-,3,3,2,3,3,0,2,2,3,0,0,0,0,0,,6.00,8.00,7.00,0.00,3.00,2.67,1.75,0.00,,3.00,2.00,0.00,0.00,3,12,,3,2,0,0,3,12,OK,OK,OK,OK,OK,OK
P11,BSE,-,3,3,2,2,2,2,1,3,3,2,1,1,0,2,,6.00,6.00,9.00,6.00,3.00,2.00,2.25,1.20,,3.00,1.00,1.00,0.00,4,13,,3,1,1,0,4,13,OK,OK,OK,OK,OK,OK
P12,BSE,-,3,3,3,3,2,2,1,1,1,3,2,1,2,2,,6.00,8.00,5.00,10.00,3.00,2.67,1.25,2.00,,3.00,2.00,1.00,1.00,5,21,,3,2,1,1,5,21,OK,OK,OK,OK,OK,OK
P13,BSE,-,3,3,2,2,3,1,1,0,3,0,0,0,0,0,,6.00,7.00,5.00,0.00,3.00,2.33,1.25,0.00,,3.00,2.00,0.00,0.00,3,12,,3,2,0,0,3,12,OK,OK,OK,OK,OK,OK
P14,BSE,-,3,3,2,3,3,1,1,2,3,1,1,1,0,2,,6.00,8.00,7.00,5.00,3.00,2.67,1.75,1.00,,3.00,2.00,1.00,0.00,4,16,,3,2,1,0,4,16,OK,OK,OK,OK,OK,OK
P1,BSEP,-,3,3,2,2,3,3,3,1,2,0,0,0,0,0,,6.00,7.00,9.00,0.00,3.00,2.33,2.25,0.00,,3.00,2.00,0.00,0.00,3,12,,3,2,0,0,3,12,OK,OK,OK,OK,OK,OK
P2,BSEP,-,3,3,3,3,3,3,2,2,3,3,0,0,0,0,,6.00,9.00,10.00,3.00,3.00,3.00,2.50,0.60,,3.00,3.00,2.00,0.00,4,23,,3,3,2,0,4,23,OK,OK,OK,OK,OK,OK
P3,BSEP,-,3,3,2,2,3,2,1,1,0,0,0,0,0,0,,6.00,7.00,4.00,0.00,3.00,2.33,1.00,0.00,,3.00,2.00,0.00,0.00,3,12,,3,2,0,0,3,12,OK,OK,OK,OK,OK,OK
P4,BSEP,-,3,3,2,1,3,2,2,2,2,0,0,0,1,2,,6.00,6.00,8.00,3.00,3.00,2.00,2.00,0.60,,3.00,1.00,1.00,0.00,4,13,,3,1,1,0,4,13,OK,OK,OK,OK,OK,OK
P5,BSEP,-,1,3,1,0,2,0,0,0,0,0,0,0,0,0,,4.00,3.00,0.00,0.00,2.00,1.00,0.00,0.00,,1.00,0.00,0.00,0.00,2,2,,1,0,0,0,2,2,OK,OK,OK,OK,OK,OK
P6,BSEP,-,3,3,3,2,3,3,1,2,3,0,0,0,0,2,,6.00,8.00,9.00,2.00,3.00,2.67,2.25,0.40,,3.00,2.00,1.00,0.00,4,16,,3,2,1,0,4,16,OK,OK,OK,OK,OK,OK
P7,BSEP,-,3,3,3,3,3,3,2,2,1,3,3,1,1,2,,6.00,9.00,8.00,10.00,3.00,3.00,2.00,2.00,,3.00,3.00,1.00,0.00,4,19,,3,3,1,0,4,19,OK,OK,OK,OK,OK,OK
P8,BSEP,-,2,2,2,1,1,1,1,1,1,0,0,1,0,0,,4.00,4.00,4.00,1.00,2.00,1.33,1.00,0.20,,2.00,1.00,1.00,0.00,4,11,,2,1,1,0,4,11,OK,OK,OK,OK,OK,OK
P9,BSEP,-,3,3,2,0,1,0,0,0,0,0,0,0,0,0,,6.00,3.00,0.00,0.00,3.00,1.00,0.00,0.00,,3.00,0.00,0.00,0.00,2,6,,3,0,0,0,2,6,OK,OK,OK,OK,OK,OK
P10,BSEP,-,2,3,2,2,3,3,0,0,0,0,0,0,0,0,,5.00,7.00,3.00,0.00,2.50,2.33,0.75,0.00,,2.00,1.00,0.00,0.00,3,7,,2,1,0,0,3,7,OK,OK,OK,OK,OK,OK
P11,BSEP,-,3,3,2,2,2,2,2,1,3,0,0,1,1,2,,6.00,6.00,8.00,4.00,3.00,2.00,2.00,0.80,,3.00,1.00,1.00,0.00,4,13,,3,1,1,0,4,13,OK,OK,OK,OK,OK,OK
P12,BSEP,-,3,3,3,3,3,1,1,2,2,3,2,2,0,3,,6.00,9.00,6.00,10.00,3.00,3.00,1.50,2.00,,3.00,3.00,1.00,0.00,4,19,,3,3,1,0,4,19,OK,OK,OK,OK,OK,OK
P13,BSEP,-,3,3,3,3,3,3,3,3,3,1,0,0,0,1,,6.00,9.00,12.00,2.00,3.00,3.00,3.00,0.40,,3.00,3.00,3.00,0.00,4,27,,3,3,3,0,4,27,OK,OK,OK,OK,OK,OK
P14,BSEP,-,3,3,3,3,3,2,1,2,3,3,2,1,0,1,,6.00,9.00,8.00,7.00,3.00,3.00,2.00,1.40,,3.00,3.00,1.00,0.00,4,19,,3,3,1,0,4,19,OK,OK,OK,OK,OK,OK
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,BSE,2.93,3.00,2.21,2.64,2.79,2.07,1.93,1.50,2.43,1.21,0.93,0.64,0.43,1.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,BSEP,2.71,2.93,2.36,1.93,2.57,2.00,1.36,1.36,1.64,0.93,0.50,0.43,0.21,0.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
